relationship,description
PA00000015|autoproductchange|PA00000046,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만36세)
label: 변경가능일,	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 기준으로 언제 처리되는지를 체크하는 것을 의미함. 예를 들어, 요금제 변경 가능 시점 기준이 입대일이며 변경 가능일이 3년 후인 경우 입대일 기준으로 3년 이후 요금제가 자동 변경된다는 의미임),	value: (기준일 + 1개월 1일)"
PA00000018|autoproductchange|PA00000102,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만36세)
label: 변경가능일,	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 기준으로 언제 처리되는지를 체크하는 것을 의미함. 예를 들어, 요금제 변경 가능 시점 기준이 입대일이며 변경 가능일이 3년 후인 경우 입대일 기준으로 3년 이후 요금제가 자동 변경된다는 의미임),	value: (기준일 + 1개월 1일)"
PA00000019|autoproductchange|PA00000103,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만36세)
label: 변경가능일,	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 기준으로 언제 처리되는지를 체크하는 것을 의미함. 예를 들어, 요금제 변경 가능 시점 기준이 입대일이며 변경 가능일이 3년 후인 경우 입대일 기준으로 3년 이후 요금제가 자동 변경된다는 의미임),	value: (기준일 + 1개월 1일)"
PA00000020|autoproductchange|PA00000105,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만36세)
label: 변경가능일,	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 기준으로 언제 처리되는지를 체크하는 것을 의미함. 예를 들어, 요금제 변경 가능 시점 기준이 입대일이며 변경 가능일이 3년 후인 경우 입대일 기준으로 3년 이후 요금제가 자동 변경된다는 의미임),	value: (기준일 + 1개월 1일)"
PA00000021|autoproductchange|PA00000104,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만36세)
label: 변경가능일,	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 기준으로 언제 처리되는지를 체크하는 것을 의미함. 예를 들어, 요금제 변경 가능 시점 기준이 입대일이며 변경 가능일이 3년 후인 경우 입대일 기준으로 3년 이후 요금제가 자동 변경된다는 의미임),	value: (기준일 + 1개월 1일)"
PA00000029|autoproductchange|PA00000232,"label: 변경가능시점 (직전혜택변경일, 최초혜택가입일, 입대일 등),	description: (설정하는 상품이 자동으로 다른 상품으로 변경 가능하도록 설정할 수 있으며, 변경 실행 여부를 판단할 때 변경 가능 시점을 체크하는 것을 의미함. 요금제 최초 가입일, 고객 생년월일, 입대일 등으로 다양하게 체크할 수 있으며, 설정된 시점을 기준으로 변경 가능 여부를 체크함),	value: (만14세)
