pmProductId,description
PA00000001,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000002,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000003,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000004,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000005,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000006,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000007,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000008,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000009,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000010,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (1.0)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (2024.07.01)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (기한없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (N)"
PA00000011,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000012,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (2.0)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (9999.12.31)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (N)"
PA00000013,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000014,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000015,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (1.0)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (2021.05.01)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (기한없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (Y)"
PA00000016,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (2.0)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (2021.05.01)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (9999.12.31)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (N)"
PA00000017,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000018,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000019,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000020,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000021,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000022,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000023,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000024,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000025,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000026,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 선택 가능한 혜택 수 적용기간 종료일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
label: 최초 가입 시, 자동 가입 혜택 설정 여부,	description: (상품 최초 가입 시, 선택제공 하위로 설정된 혜택 중 1개 자동 가입 여부),	value: (정보없음)"
PA00000027,"label: 선택 가능한 혜택 수,	description: (선택제공으로 선택한 경우, 선택 가능한 혜택 범위 내에서 고객이 선택 가능한 최대 혜택 개수를 의미함),	value: (정보없음)
label:  선택 가능한 혜택 수 적용기간 시작일,	description: (혜택 선택제공하는 기간을 의미함),	value: (정보없음)
