pmProductId,description
PA00000001,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000002,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000003,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000004,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000005,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000006,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000007,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000008,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000009,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000010,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000011,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000012,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000013,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000014,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000015,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000016,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000017,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000018,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000019,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000020,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000021,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000022,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['', ''])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (['', ''])"
PA00000023,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000024,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000025,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000026,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000027,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000028,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000029,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['망내통화', '망외통화', '부가통화', '유선통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000030,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000031,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['망내통화', '망외통화', '부가통화', '유선통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000032,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
label: 음성 리필 가능량,	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 결정한 음성 리필 항목의 기본 제공량의 일정 비율을 리필 가능량으로 제공 (월 단위)),	value: (20%)"
PA00000033,"label: 음성 리필 항목 ( 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 ),	description: (음성 리필하기는 요금제의 기본 음성 제공량을 기준으로 음성 제공량을 별도 과금없이 추가로 제공하는 혜택으로, 추가 제공할 음성 서비스 항목을 망내통화, 망외통화, 유선통화, 부가통화, 영상통화 중 정하여 제공할 수 있음),	value: (['영상통화', '부가통화'])
