pmProductId,voicecallrefillrange|range,refillamount
PA00000001,"['영상통화', '부가통화']",20.0
PA00000002,"['영상통화', '부가통화']",20.0
PA00000003,"['영상통화', '부가통화']",20.0
PA00000004,"['영상통화', '부가통화']",20.0
PA00000005,"['영상통화', '부가통화']",20.0
PA00000006,"['영상통화', '부가통화']",20.0
PA00000007,"['영상통화', '부가통화']",20.0
PA00000008,"['영상통화', '부가통화']",20.0
PA00000009,"['영상통화', '부가통화']",20.0
PA00000010,"['영상통화', '부가통화']",20.0
PA00000011,"['영상통화', '부가통화']",20.0
PA00000012,"['영상통화', '부가통화']",20.0
PA00000013,"['영상통화', '부가통화']",20.0
PA00000014,"['영상통화', '부가통화']",20.0
PA00000015,"['영상통화', '부가통화']",20.0
PA00000016,"['영상통화', '부가통화']",20.0
PA00000017,"['영상통화', '부가통화']",20.0
PA00000018,"['영상통화', '부가통화']",20.0
PA00000019,"['영상통화', '부가통화']",20.0
PA00000020,"['영상통화', '부가통화']",20.0
PA00000021,"['영상통화', '부가통화']",20.0
PA00000022,"['', '']",999999.0
PA00000023,"['영상통화', '부가통화']",20.0
PA00000024,"['영상통화', '부가통화']",20.0
PA00000025,"['영상통화', '부가통화']",20.0
PA00000026,"['영상통화', '부가통화']",20.0
PA00000027,"['영상통화', '부가통화']",20.0
PA00000028,"['영상통화', '부가통화']",20.0
PA00000029,"['망내통화', '망외통화', '부가통화', '유선통화']",20.0
PA00000030,"['영상통화', '부가통화']",20.0
PA00000031,"['망내통화', '망외통화', '부가통화', '유선통화']",20.0
PA00000032,"['영상통화', '부가통화']",20.0
PA00000033,"['영상통화', '부가통화']",20.0
PA00000034,"['영상통화', '부가통화']",20.0
PA00000035,"['영상통화', '부가통화']",20.0
PA00000036,"['영상통화', '부가통화']",20.0
PA00000037,"['영상통화', '부가통화']",20.0
PA00000038,"['영상통화', '부가통화']",20.0
PA00000039,"['영상통화', '부가통화']",20.0
PA00000040,"['영상통화', '부가통화']",20.0
PA00000041,"['영상통화', '부가통화']",20.0
PA00000042,"['영상통화', '부가통화']",20.0
PA00000043,"['영상통화', '부가통화']",20.0
PA00000044,"['영상통화', '부가통화']",20.0
PA00000045,"['영상통화', '부가통화']",20.0
PA00000046,"['영상통화', '부가통화']",20.0
PA00000047,"['영상통화', '부가통화']",20.0
PA00000048,"['영상통화', '부가통화']",20.0
PA00000049,"['영상통화', '부가통화']",20.0
PA00000050,"['영상통화', '부가통화']",20.0
PA00000051,"['영상통화', '부가통화']",20.0
PA00000052,"['영상통화', '부가통화']",20.0
PA00000053,"['영상통화', '부가통화']",20.0
PA00000054,"['영상통화', '부가통화']",20.0
PA00000055,"['영상통화', '부가통화']",20.0
PA00000056,"['영상통화', '부가통화']",20.0
PA00000057,"['영상통화', '부가통화']",20.0
PA00000058,"['영상통화', '부가통화']",20.0
PA00000059,"['영상통화', '부가통화']",20.0
PA00000060,"['영상통화', '부가통화']",20.0
PA00000061,"['영상통화', '부가통화']",20.0
PA00000062,"['영상통화', '부가통화']",20.0
PA00000063,"['영상통화', '부가통화']",20.0
PA00000064,"['영상통화', '부가통화']",20.0
PA00000065,"['영상통화', '부가통화']",20.0
PA00000066,"['영상통화', '부가통화']",20.0
PA00000067,"['영상통화', '부가통화']",20.0
PA00000068,"['영상통화', '부가통화']",20.0
PA00000069,"['영상통화', '부가통화']",20.0
PA00000070,"['영상통화', '부가통화']",20.0
PA00000071,"['영상통화', '부가통화']",20.0
PA00000072,"['영상통화', '부가통화']",20.0
PA00000073,"['영상통화', '부가통화']",20.0
PA00000074,"['영상통화', '부가통화']",20.0
PA00000075,"['영상통화', '부가통화']",20.0
PA00000076,"['영상통화', '부가통화']",20.0
PA00000077,"['영상통화', '부가통화']",20.0
PA00000078,"['영상통화', '부가통화']",20.0
PA00000079,"['영상통화', '부가통화']",20.0
PA00000080,"['영상통화', '부가통화']",20.0
PA00000081,"['영상통화', '부가통화']",20.0
PA00000082,"['영상통화', '부가통화']",20.0
PA00000083,"['영상통화', '부가통화']",20.0
PA00000084,"['영상통화', '부가통화']",20.0
PA00000085,"['영상통화', '부가통화']",20.0
PA00000086,"['영상통화', '부가통화']",20.0
PA00000087,"['영상통화', '부가통화']",20.0
PA00000088,"['영상통화', '부가통화']",20.0
PA00000089,"['영상통화', '부가통화']",20.0
PA00000090,"['영상통화', '부가통화']",20.0
PA00000091,"['영상통화', '부가통화']",20.0
PA00000092,"['영상통화', '부가통화']",20.0
PA00000093,"['영상통화', '부가통화']",20.0
PA00000094,"['영상통화', '부가통화']",20.0
PA00000095,"['영상통화', '망내통화', '망외통화', '부가통화', '유선통화']",20.0
PA00000096,"['영상통화', '부가통화']",20.0
PA00000097,"['영상통화', '부가통화']",20.0
PA00000098,"['영상통화', '부가통화']",20.0
PA00000099,"['영상통화', '부가통화']",20.0
PA00000100,"['영상통화', '부가통화']",20.0
PA00000101,"['영상통화', '부가통화']",20.0
PA00000102,"['영상통화', '부가통화']",20.0
PA00000103,"['영상통화', '부가통화']",20.0
PA00000104,"['영상통화', '부가통화']",20.0
PA00000105,"['영상통화', '부가통화']",20.0
PA00000106,"['영상통화', '부가통화']",20.0
PA00000107,"['영상통화', '부가통화']",20.0
PA00000108,"['영상통화', '부가통화']",20.0
PA00000109,"['영상통화', '부가통화']",20.0
PA00000228,"['', '']",999999.0
PA00000231,"['', '']",999999.0
PA00000693,"['영상통화', '부가통화']",20.0
PA00002803,"['영상통화', '부가통화']",20.0
PA00002804,"['영상통화', '부가통화']",20.0
PA00002805,"['영상통화', '부가통화']",20.0
PA00002806,"['영상통화', '부가통화']",20.0
PA00002807,"['영상통화', '부가통화']",20.0
PA00002808,"['영상통화', '부가통화']",20.0
PA00002809,"['영상통화', '부가통화']",20.0
PA00002810,"['영상통화', '부가통화']",20.0
PA00002811,"['영상통화', '부가통화']",20.0
PA00002812,"['영상통화', '부가통화']",20.0
PA00002813,"['영상통화', '부가통화']",20.0
PA00002814,"['영상통화', '부가통화']",20.0
PA00002815,"['영상통화', '부가통화']",20.0
