pmProductId,targetProductId,relationshipType
PA00000001,BB00000001,signupPreTermination
PA00000001,BA00000031,signupConcurrentTermination
PA00000001,BA00000028,terminationPreTermination
PA00000001,BA00000073,terminationPreTermination
PA00000001,BA00000047,terminationConcurrentTermination
PA00000002,BB00000001,signupPreTermination
PA00000002,BA00000031,signupConcurrentTermination
PA00000002,BA00000073,terminationPreTermination
PA00000002,BA00000028,terminationPreTermination
PA00000003,BB00000001,signupPreTermination
PA00000003,BA00000031,signupConcurrentTermination
PA00000003,BA00000028,terminationPreTermination
PA00000003,BA00000073,terminationPreTermination
PA00000004,BB00000001,signupPreTermination
PA00000004,BA00000031,signupConcurrentTermination
PA00000004,BA00000028,terminationPreTermination
PA00000004,BA00000073,terminationPreTermination
PA00000005,BB00000001,signupPreTermination
PA00000005,BA00000031,signupConcurrentTermination
PA00000005,BA00000028,terminationPreTermination
PA00000005,BA00000073,terminationPreTermination
PA00000005,BA00000047,terminationConcurrentTermination
PA00000006,BB00000001,signupPreTermination
PA00000006,BA00000031,signupConcurrentTermination
PA00000006,BA00000073,terminationPreTermination
PA00000006,BA00000028,terminationPreTermination
PA00000006,BA00000047,terminationConcurrentTermination
PA00000007,BB00000001,signupPreTermination
PA00000007,BA00000031,signupConcurrentTermination
PA00000007,BA00000028,terminationPreTermination
PA00000007,BA00000073,terminationPreTermination
PA00000007,BA00000047,terminationConcurrentTermination
PA00000008,BB00000001,signupPreTermination
PA00000008,BA00000031,signupConcurrentTermination
PA00000008,BA00000028,terminationPreTermination
PA00000008,BA00000073,terminationPreTermination
PA00000008,BA00000047,terminationConcurrentTermination
PA00000009,BB00000001,signupPreTermination
PA00000009,BA00000031,signupConcurrentTermination
PA00000009,BA00000028,terminationPreTermination
PA00000009,BA00000073,terminationPreTermination
PA00000009,BA00000047,terminationConcurrentTermination
PA00000009,BA00000056,terminationConcurrentTermination
PA00000010,BB00000001,signupPreTermination
PA00000010,BA00000031,signupConcurrentTermination
PA00000010,BA00000073,terminationPreTermination
PA00000010,BA00000028,terminationPreTermination
PA00000010,BA00000038,terminationConcurrentTermination
PA00000010,BA00000041,terminationConcurrentTermination
PA00000010,BA00000057,terminationConcurrentTermination
PA00000010,BA00001857,terminationConcurrentTermination
PA00000010,BA00001871,terminationConcurrentTermination
PA00000010,BA00000058,terminationConcurrentTermination
PA00000010,BA00000056,terminationConcurrentTermination
PA00000010,BA00000037,terminationConcurrentTermination
PA00000010,BA00000037,signupConcurrentSignup
PA00000011,BB00000001,signupPreTermination
PA00000011,BA00000031,signupConcurrentTermination
PA00000011,BA00000073,terminationPreTermination
PA00000011,BA00000028,terminationPreTermination
PA00000012,BB00000001,signupPreTermination
PA00000012,BA00000031,signupConcurrentTermination
PA00000012,BA00000073,terminationPreTermination
PA00000012,BA00000028,terminationPreTermination
PA00000012,BA00000042,terminationConcurrentTermination
PA00000012,BA00001857,terminationConcurrentTermination
PA00000012,BA00000056,terminationConcurrentTermination
PA00000012,BA00000039,terminationConcurrentTermination
PA00000012,BA00001871,terminationConcurrentTermination
PA00000012,BA00000037,terminationConcurrentTermination
PA00000012,BA00000037,signupConcurrentSignup
PA00000013,BB00000001,signupPreTermination
PA00000013,BA00000031,signupConcurrentTermination
PA00000013,BA00000073,terminationPreTermination
PA00000013,BA00000028,terminationPreTermination
PA00000013,BA00000047,terminationConcurrentTermination
PA00000014,BB00000001,signupPreTermination
PA00000014,BA00000031,signupConcurrentTermination
PA00000014,BA00000028,terminationPreTermination
PA00000014,BA00000073,terminationPreTermination
PA00000014,BA00000047,terminationConcurrentTermination
PA00000015,BA00000028,terminationPreTermination
PA00000015,BA00000073,terminationPreTermination
PA00000015,BA00000040,terminationConcurrentTermination
PA00000015,BA00000042,terminationConcurrentTermination
PA00000015,BA00000037,terminationConcurrentTermination
PA00000015,BA00000045,terminationConcurrentTermination
PA00000015,BA00001870,terminationConcurrentTermination
PA00000015,BA00000037,signupConcurrentSignup
PA00000016,BA00000073,terminationPreTermination
PA00000016,BA00000044,terminationConcurrentTermination
PA00000016,BA00000037,terminationConcurrentTermination
PA00000016,BA00000047,terminationConcurrentTermination
PA00000016,BA00000042,terminationConcurrentTermination
PA00000016,BA00000039,terminationConcurrentTermination
PA00000016,BA00000043,terminationConcurrentTermination
PA00000016,BA00000037,signupConcurrentSignup
PA00000017,BA00000073,terminationPreTermination
PA00000018,BA00000073,terminationPreTermination
PA00000018,BA00000028,terminationPreTermination
PA00000018,BA00000056,terminationConcurrentTermination
PA00000018,BA00000080,terminationConcurrentTermination
PA00000018,BA00000078,terminationConcurrentTermination
PA00000018,BA00000047,terminationConcurrentTermination
PA00000018,BA00000079,terminationConcurrentTermination
PA00000019,BA00000028,terminationPreTermination
PA00000019,BA00000073,terminationPreTermination
PA00000019,BA00000078,terminationConcurrentTermination
PA00000019,BA00000079,terminationConcurrentTermination
PA00000019,BA00000080,terminationConcurrentTermination
PA00000019,BA00000047,terminationConcurrentTermination
PA00000019,BA00000056,terminationConcurrentTermination
PA00000020,BA00000073,terminationPreTermination
PA00000020,BA00000028,terminationPreTermination
PA00000020,BA00000079,terminationConcurrentTermination
PA00000020,BA00000080,terminationConcurrentTermination
PA00000020,BA00000078,terminationConcurrentTermination
PA00000020,BA00000047,terminationConcurrentTermination
PA00000020,BA00000056,terminationConcurrentTermination
PA00000021,BA00000073,terminationPreTermination
PA00000021,BA00000028,terminationPreTermination
PA00000021,BA00000047,terminationConcurrentTermination
PA00000021,BA00000056,terminationConcurrentTermination
PA00000021,BA00000079,terminationConcurrentTermination
PA00000021,BA00000078,terminationConcurrentTermination
PA00000021,BA00000080,terminationConcurrentTermination
PA00000023,BA00000028,terminationPreTermination
PA00000024,BA00000028,terminationPreTermination
PA00000024,BA00000073,terminationPreTermination
PA00000025,BA00000028,terminationPreTermination
PA00000025,BA00000073,terminationPreTermination
PA00000026,BA00000028,terminationPreTermination
PA00000026,BA00000073,terminationPreTermination
PA00000027,BA00000028,terminationPreTermination
PA00000027,BA00000073,terminationPreTermination
PA00000028,BA00000028,terminationPreTermination
PA00000028,BA00000073,terminationPreTermination
PA00000029,BA00000073,terminationPreTermination
PA00000030,BA00000028,terminationPreTermination
PA00000030,BA00000073,terminationPreTermination
PA00000031,BA00000073,terminationPreTermination
PA00000032,BA00000028,terminationPreTermination
PA00000032,BA00000073,terminationPreTermination
PA00000033,BA00000028,terminationPreTermination
PA00000033,BA00000073,terminationPreTermination
PA00000033,BA00000047,terminationConcurrentTermination
PA00000034,BA00000028,terminationPreTermination
PA00000034,BA00000073,terminationPreTermination
PA00000035,BA00000028,terminationPreTermination
PA00000035,BA00000073,terminationPreTermination
PA00000035,BA00000037,terminationConcurrentTermination
PA00000035,BA00000037,signupConcurrentSignup
PA00000036,BA00000073,terminationPreTermination
PA00000036,BA00000028,terminationPreTermination
PA00000036,BA00000077,terminationConcurrentTermination
PA00000036,BA00000037,terminationConcurrentTermination
PA00000036,BA00000076,terminationConcurrentTermination
PA00000036,BA00000056,terminationConcurrentTermination
PA00000036,BA00000037,signupConcurrentSignup
PA00000037,BA00000028,terminationPreTermination
PA00000037,BA00000073,terminationPreTermination
PA00000038,BA00000028,signupPreTermination
PA00000038,BA00000073,terminationPreTermination
PA00000039,BA00000028,signupPreTermination
PA00000039,BA00000073,terminationPreTermination
PA00000039,BA00001870,terminationConcurrentTermination
PA00000039,BA00000037,terminationConcurrentTermination
PA00000039,BA00000040,terminationConcurrentTermination
PA00000039,BA00000045,terminationConcurrentTermination
PA00000039,BA00000042,terminationConcurrentTermination
PA00000039,BA00000037,signupConcurrentSignup
PA00000040,BA00000028,terminationPreTermination
PA00000040,BA00000073,terminationPreTermination
PA00000040,BA00000056,terminationConcurrentTermination
PA00000040,BA00000037,terminationConcurrentTermination
PA00000040,BA00000037,signupConcurrentSignup
PA00000041,BA00000028,terminationPreTermination
PA00000041,BA00000073,terminationPreTermination
PA00000041,BA00000056,terminationConcurrentTermination
PA00000041,BA00000039,terminationConcurrentTermination
PA00000041,BA00000043,terminationConcurrentTermination
PA00000041,BA00000042,terminationConcurrentTermination
PA00000041,BA00000037,terminationConcurrentTermination
PA00000041,BA00000044,terminationConcurrentTermination
PA00000041,BA00000047,terminationConcurrentTermination
PA00000041,BA00000037,signupConcurrentSignup
PA00000042,BA00000028,terminationPreTermination
PA00000042,BA00000057,terminationPreTermination
PA00000042,BA00000073,terminationPreTermination
PA00000042,BA00000037,terminationConcurrentTermination
PA00000042,BA00000044,terminationConcurrentTermination
PA00000042,BA00000047,terminationConcurrentTermination
PA00000042,BA00000046,terminationConcurrentTermination
PA00000042,BA00000038,terminationConcurrentTermination
PA00000042,BA00000056,terminationConcurrentTermination
PA00000042,BA00000037,signupConcurrentSignup
PA00000043,BA00000028,terminationPreTermination
PA00000043,BA00000073,terminationPreTermination
PA00000044,BA00000073,terminationPreTermination
PA00000044,BA00000028,terminationPreTermination
PA00000045,BA00000073,terminationPreTermination
PA00000045,BA00000028,terminationPreTermination
PA00000046,BA00000028,terminationPreTermination
PA00000046,BA00000073,terminationPreTermination
PA00000047,BA00000028,terminationPreTermination
PA00000047,BA00000073,terminationPreTermination
PA00000047,BA00000044,terminationConcurrentTermination
PA00000047,BA00000037,terminationConcurrentTermination
PA00000047,BA00000039,terminationConcurrentTermination
PA00000047,BA00000043,terminationConcurrentTermination
PA00000047,BA00000042,terminationConcurrentTermination
PA00000047,BA00000047,terminationConcurrentTermination
PA00000047,BA00000037,signupConcurrentSignup
PA00000048,BA00000028,terminationPreTermination
PA00000048,BA00000073,terminationPreTermination
PA00000048,BA00000037,terminationConcurrentTermination
PA00000048,BA00000038,terminationConcurrentTermination
PA00000048,BA00000044,terminationConcurrentTermination
PA00000048,BA00000046,terminationConcurrentTermination
PA00000048,BA00000047,terminationConcurrentTermination
PA00000048,BA00000037,signupConcurrentSignup
PA00000049,BA00000028,terminationPreTermination
PA00000049,BA00000073,terminationPreTermination
PA00000050,BA00000037,signupConcurrentTermination
PA00000050,BA00000028,terminationPreTermination
PA00000050,BA00000073,terminationPreTermination
PA00000050,BA00000047,terminationConcurrentTermination
PA00000051,BA00000037,signupConcurrentTermination
PA00000051,BA00000028,terminationPreTermination
PA00000051,BA00000073,terminationPreTermination
PA00000051,BA00000056,terminationConcurrentTermination
PA00000051,BA00000047,terminationConcurrentTermination
PA00000052,BA00000073,terminationPreTermination
PA00000053,BA00000028,terminationPreTermination
PA00000053,BA00000073,terminationPreTermination
PA00000053,BA00000037,terminationConcurrentTermination
PA00000053,BA00001870,terminationConcurrentTermination
PA00000053,BA00000037,signupConcurrentSignup
PA00000054,BA00000028,terminationPreTermination
PA00000054,BA00000073,terminationPreTermination
PA00000055,BA00000028,terminationPreTermination
