pmProductId,dataexhaustiontimeorder,commonrule|fairuserpolicyrule|datapolicy,commonrule|fairuserpolicyrule|smspolicy,commonrule|fairuserpolicyrule|voicepolicy,commonrule|generaldataexceedlimitrule|maximumamountlimit,commonrule|generaldataexceedlimitrule|qosafterthreshold,commonrule|legalrepresentativechangeeligibility,linesuspensioncondition,dailyplanchangelimit,monthlyplanchangelimit,commonrule|seniordataexceedlimitrule|maximumamountlimit,commonrule|seniordataexceedlimitrule|qosafterthreshold,smssendinglimitthreshold
PA00000001,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000002,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000003,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000004,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000005,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000006,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000007,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000008,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000009,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000010,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000011,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000012,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000013,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000014,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000015,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000016,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000017,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000018,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000019,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000020,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000021,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000022,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000023,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000024,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000025,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000026,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000027,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000028,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000029,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000030,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000031,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000032,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000033,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000034,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000035,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000036,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000037,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000038,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000039,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000040,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000041,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000042,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
PA00000043,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,AC,5,1,정보없음,정보없음,정보없음
