pmProductId,description
PA00000001,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000002,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000003,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000004,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000005,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000006,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000007,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000008,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000009,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
PA00000010,"label: 상품을 가입할 이동전화 고객,	value: (나이제한 없음)
label: 가능 또는 불가능 고객 세부 유형(법인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 법인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)
label: 가능 또는 불가능 고객 유형 (1. 개인 2. 법인 3. 공공기관&단체),	description: (상품 가입 여부 판단할 경우, 이동전화 가입 회선 고객의 가입 전산에 분류, 등록되어 있는 고객 유형을 기준으로 삼는 것을 의미하며 개인, 법인, 공공기관 및 단체 등으로 분류됨. ALL 으로 기재된 경우, 전 고객 유형 모두 가입 가능 또는 불가능함을 의미함. 고객세부유형의 상위레벨에 해당됨),	value: (제한 없음)
label: 가능 또는 불가능 고객 세부 유형(개인인 경우),	description: (고객유형은 세분화가 될 수 있어 고객 유형이 개인 중에서 추가로 세분화된 고객 종류로 가입 가능 또는 불가능을 정의할 수 있음. 고객 유형의 하위 레벨에 해당함. ALL 으로 기재된 경우, 개인 중 전 고객 세부 유형 모두 가입 가능 또는 불가능함을 의미함.),	value: (제한 없음)"
