pmProductId,includeddataforsharingandtethering,includeddataseparatesetting,includedmvoip,appliedspeed,generaldataexceedlimit|availabletoapply,includeddata,seniordataexceedlimit|availabletoapply
PA00000001,15.0,0,15.0,1024,False,15.0,False
PA00000002,1.8,0,1.8,0,True,1.8,False
PA00000003,5.0,0,5.0,1024,False,5.0,False
PA00000004,30.0,0,100.0,5120,False,100.0,False
PA00000005,54.0,0,200.0,5120,False,200.0,False
PA00000006,24.0,0,24.0,1024,False,24.0,False
PA00000007,11.0,0,11.0,400,False,11.0,False
PA00000008,48.0,0,110.0,5120,False,110.0,False
PA00000009,54.0,0,250.0,5120,False,250.0,False
PA00000010,80.0,0,999999.0,0,False,999999.0,False
PA00000011,2.5,0,2.5,400,False,2.5,False
PA00000012,60.0,0,999999.0,0,False,999999.0,False
PA00000013,6.0,0,6.0,400,False,6.0,False
PA00000014,8.0,0,8.0,400,False,8.0,False
PA00000015,40.0,0,100.0,5120,False,100.0,False
PA00000016,40.0,0,160.0,5120,False,160.0,False
PA00000017,30.0,0,110.0,5120,False,110.0,False
PA00000018,36.0,0,136.0,1024,False,136.0,False
PA00000019,36.0,0,72.0,1024,False,72.0,False
PA00000020,36.0,0,96.0,1024,False,96.0,False
PA00000021,36.0,0,51.0,1024,False,51.0,False
PA00000022,0.0,0,0.0,0,True,0.0,False
PA00000023,0.29296875,0,0.29296875,0,True,0.29296875,False
PA00000024,1.2,0,1.2,0,True,1.2,False
PA00000025,2.2,0,2.2,0,True,2.2,False
PA00000026,3.5,0,3.5,0,True,3.5,False
PA00000027,6.5,0,6.5,0,True,6.5,False
PA00000028,11.0,0,11.0,3072,False,11.0,False
PA00000029,1.0,0,1.0,0,True,1.0,False
PA00000030,16.0,0,16.0,3072,False,16.0,False
PA00000031,0.29296875,0,0.0,400,True,0.29296875,False
PA00000032,1.2,0,1.2,0,True,1.2,False
PA00000033,4.0,0,4.0,0,False,4.0,False
PA00000034,30.0,0,100.0,5120,False,100.0,False
PA00000035,40.0,0,150.0,5120,False,150.0,False
PA00000036,80.0,0,999999.0,0,False,999999.0,False
PA00000037,2.0,0,2.0,400,False,2.0,False
PA00000038,6.0,0,6.0,1024,False,6.0,False
PA00000039,40.0,0,100.0,5120,False,100.0,False
PA00000040,40.0,0,200.0,5120,False,200.0,False
PA00000041,60.0,0,999999.0,0,False,999999.0,False
PA00000042,120.0,0,999999.0,0,False,999999.0,False
PA00000043,1.5,0,1.5,0,True,1.5,False
PA00000044,2.5,0,2.5,400,False,2.5,False
PA00000045,4.0,0,4.0,1024,False,4.0,False
PA00000046,30.0,0,100.0,5120,False,100.0,False
PA00000047,40.0,0,150.0,5120,False,150.0,False
PA00000048,80.0,0,999999.0,0,False,999999.0,False
PA00000049,9.0,0,9.0,1024,False,9.0,False
PA00000050,48.0,0,110.0,5120,False,110.0,False
PA00000051,54.0,0,250.0,5120,False,250.0,False
PA00000052,2.0,0,2.0,400,False,2.0,False
PA00000053,40.0,0,100.0,5120,False,100.0,False
PA00000054,12.0,0,12.0,1024,False,12.0,False
PA00000055,6.0,0,6.0,400,False,100.0,False
PA00000056,2.5,0,2.5,400,False,100.0,False
PA00000057,4.0,0,4.0,1024,False,4.0,False
PA00000058,2.0,0,2.0,400,False,2.0,False
PA00000059,24.0,0,24.0,1024,False,24.0,False
PA00000060,120.0,0,999999.0,0,False,999999.0,False
PA00000061,60.0,0,999999.0,0,False,999999.0,False
PA00000062,10.0,0,10.0,1024,False,10.0,False
PA00000063,9.0,0,9.0,1024,False,9.0,False
PA00000064,8.0,0,8.0,1024,False,8.0,False
PA00000065,80.0,0,999999.0,0,False,999999.0,False
PA00000066,80.0,0,999999.0,0,False,999999.0,False
PA00000067,60.0,0,999999.0,0,False,999999.0,False
PA00000068,100.0,0,999999.0,0,False,999999.0,False
PA00000069,80.0,0,999999.0,0,False,999999.0,False
PA00000070,6.0,0,6.0,400,False,6.0,False
PA00000071,100.0,0,999999.0,0,False,999999.0,False
PA00000072,80.0,0,999999.0,0,False,999999.0,False
PA00000073,60.0,0,999999.0,0,False,999999.0,False
PA00000074,100.0,0,999999.0,0,False,999999.0,False
PA00000075,80.0,0,999999.0,0,False,999999.0,False
PA00000076,120.0,0,999999.0,0,False,999999.0,False
PA00000077,100.0,0,999999.0,0,False,999999.0,False
PA00000078,100.0,0,999999.0,0,False,999999.0,False
PA00000079,120.0,0,999999.0,0,False,999999.0,False
PA00000080,80.0,0,999999.0,0,False,999999.0,False
PA00000081,6.0,0,6.0,400,False,6.0,False
PA00000082,8.0,0,8.0,400,False,8.0,False
