pmProductId,description
PA00000001,"label: 데이터 옵션명,	description: (기본 제공 데이터 외 추가로 제공하는 모바일 데이터의 포괄적 명칭),	value: (옵션없음)
label: 데이터 옵션 선택방식 (모두 제공/선택 제공),	description: (데이터 옵션을 고객에게 제공하는 방식을 의미하며, 모두 제공은 선택 가능한 옵션 모두를 제공하는 것이며 선택 제공은 선택 가능한 옵션 중 고객이 선택하는 특정 옵션만 제공하는 것을 의미함),	value: (옵션없음)
label: 제공되는 총 옵션 데이터 수,	description: (제공되는 데이터 옵션의 총 개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최소),	description: (선택 가능한 데이터 옵션 최소개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최대),	description: (선택 가능한 데이터 옵션 최대개수를 의미함),	value: (옵션없음)"
PA00000002,"label: 데이터 옵션명,	description: (기본 제공 데이터 외 추가로 제공하는 모바일 데이터의 포괄적 명칭),	value: (심야데이터 할인)
label: 데이터 옵션 선택방식 (모두 제공/선택 제공),	description: (데이터 옵션을 고객에게 제공하는 방식을 의미하며, 모두 제공은 선택 가능한 옵션 모두를 제공하는 것이며 선택 제공은 선택 가능한 옵션 중 고객이 선택하는 특정 옵션만 제공하는 것을 의미함),	value: (포함 옵션)
label: 제공되는 총 옵션 데이터 수,	description: (제공되는 데이터 옵션의 총 개수를 의미함),	value: (1.0)
label: 선택 가능한 옵션 데이터 수(최소),	description: (선택 가능한 데이터 옵션 최소개수를 의미함),	value: (1.0)
label: 선택 가능한 옵션 데이터 수(최대),	description: (선택 가능한 데이터 옵션 최대개수를 의미함),	value: (1.0)"
PA00000003,"label: 데이터 옵션명,	description: (기본 제공 데이터 외 추가로 제공하는 모바일 데이터의 포괄적 명칭),	value: (심야데이터 할인)
label: 데이터 옵션 선택방식 (모두 제공/선택 제공),	description: (데이터 옵션을 고객에게 제공하는 방식을 의미하며, 모두 제공은 선택 가능한 옵션 모두를 제공하는 것이며 선택 제공은 선택 가능한 옵션 중 고객이 선택하는 특정 옵션만 제공하는 것을 의미함),	value: (포함 옵션)
label: 제공되는 총 옵션 데이터 수,	description: (제공되는 데이터 옵션의 총 개수를 의미함),	value: (1.0)
label: 선택 가능한 옵션 데이터 수(최소),	description: (선택 가능한 데이터 옵션 최소개수를 의미함),	value: (1.0)
label: 선택 가능한 옵션 데이터 수(최대),	description: (선택 가능한 데이터 옵션 최대개수를 의미함),	value: (1.0)"
PA00000004,"label: 데이터 옵션명,	description: (기본 제공 데이터 외 추가로 제공하는 모바일 데이터의 포괄적 명칭),	value: (옵션없음)
label: 데이터 옵션 선택방식 (모두 제공/선택 제공),	description: (데이터 옵션을 고객에게 제공하는 방식을 의미하며, 모두 제공은 선택 가능한 옵션 모두를 제공하는 것이며 선택 제공은 선택 가능한 옵션 중 고객이 선택하는 특정 옵션만 제공하는 것을 의미함),	value: (옵션없음)
label: 제공되는 총 옵션 데이터 수,	description: (제공되는 데이터 옵션의 총 개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최소),	description: (선택 가능한 데이터 옵션 최소개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최대),	description: (선택 가능한 데이터 옵션 최대개수를 의미함),	value: (옵션없음)"
PA00000005,"label: 데이터 옵션명,	description: (기본 제공 데이터 외 추가로 제공하는 모바일 데이터의 포괄적 명칭),	value: (옵션없음)
label: 데이터 옵션 선택방식 (모두 제공/선택 제공),	description: (데이터 옵션을 고객에게 제공하는 방식을 의미하며, 모두 제공은 선택 가능한 옵션 모두를 제공하는 것이며 선택 제공은 선택 가능한 옵션 중 고객이 선택하는 특정 옵션만 제공하는 것을 의미함),	value: (옵션없음)
label: 제공되는 총 옵션 데이터 수,	description: (제공되는 데이터 옵션의 총 개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최소),	description: (선택 가능한 데이터 옵션 최소개수를 의미함),	value: (옵션없음)
label: 선택 가능한 옵션 데이터 수(최대),	description: (선택 가능한 데이터 옵션 최대개수를 의미함),	value: (옵션없음)"
