pmProductId,optiondataname,selectionmethod,totalnumofoptions,minnumofoptionselectable,maxnumofoptionselectable
PA00000001,옵션없음,옵션없음,0,0,0
PA00000002,심야데이터 할인,포함 옵션,1,1,1
PA00000003,심야데이터 할인,포함 옵션,1,1,1
PA00000004,옵션없음,옵션없음,0,0,0
PA00000005,옵션없음,옵션없음,0,0,0
PA00000006,옵션없음,옵션없음,0,0,0
PA00000007,옵션없음,옵션없음,0,0,0
PA00000008,옵션없음,옵션없음,0,0,0
PA00000009,옵션없음,옵션없음,0,0,0
PA00000010,옵션없음,옵션없음,0,0,0
PA00000011,심야데이터 할인,포함 옵션,1,1,1
PA00000012,옵션없음,옵션없음,0,0,0
PA00000013,옵션없음,옵션없음,0,0,0
PA00000014,옵션없음,옵션없음,0,0,0
PA00000015,옵션없음,옵션없음,0,0,0
PA00000016,옵션없음,옵션없음,0,0,0
PA00000017,옵션없음,옵션없음,0,0,0
PA00000018,옵션없음,옵션없음,0,0,0
PA00000019,옵션없음,옵션없음,0,0,0
PA00000020,옵션없음,옵션없음,0,0,0
PA00000021,옵션없음,옵션없음,0,0,0
PA00000022,옵션없음,옵션없음,0,0,0
PA00000023,옵션없음,옵션없음,0,0,0
PA00000024,옵션없음,옵션없음,0,0,0
PA00000025,옵션없음,옵션없음,0,0,0
PA00000026,옵션없음,옵션없음,0,0,0
PA00000027,옵션없음,옵션없음,0,0,0
PA00000028,매일 추가 데이터 제공,포함 옵션,1,1,1
PA00000029,옵션없음,옵션없음,0,0,0
PA00000030,매일 추가 데이터 제공,포함 옵션,1,1,1
PA00000031,옵션없음,옵션없음,0,0,0
PA00000032,옵션없음,옵션없음,0,0,0
PA00000033,옵션없음,옵션없음,0,0,0
PA00000034,옵션없음,옵션없음,0,0,0
PA00000035,옵션없음,옵션없음,0,0,0
PA00000036,옵션없음,옵션없음,0,0,0
PA00000037,옵션없음,옵션없음,0,0,0
PA00000038,옵션없음,옵션없음,0,0,0
PA00000039,옵션없음,옵션없음,0,0,0
PA00000040,옵션없음,옵션없음,0,0,0
PA00000041,옵션없음,옵션없음,0,0,0
PA00000042,옵션없음,옵션없음,0,0,0
PA00000043,심야데이터 할인,포함 옵션,1,1,1
PA00000044,심야데이터 할인,포함 옵션,1,1,1
PA00000045,심야데이터 할인,포함 옵션,1,1,1
PA00000046,옵션없음,옵션없음,0,0,0
PA00000047,옵션없음,옵션없음,0,0,0
PA00000048,옵션없음,옵션없음,0,0,0
PA00000049,옵션없음,옵션없음,0,0,0
PA00000050,옵션없음,옵션없음,0,0,0
PA00000051,옵션없음,옵션없음,0,0,0
PA00000052,옵션없음,옵션없음,0,0,0
PA00000053,옵션없음,옵션없음,0,0,0
PA00000054,옵션없음,옵션없음,0,0,0
PA00000055,옵션없음,옵션없음,0,0,0
PA00000056,옵션없음,옵션없음,0,0,0
PA00000057,옵션없음,옵션없음,0,0,0
PA00000058,옵션없음,옵션없음,0,0,0
PA00000059,베이직 플러스 데이터 옵션,선택 옵션,4,0,1
PA00000060,옵션없음,옵션없음,0,0,0
PA00000061,옵션없음,옵션없음,0,0,0
PA00000062,옵션없음,옵션없음,0,0,0
PA00000063,옵션없음,옵션없음,0,0,0
PA00000064,옵션없음,옵션없음,0,0,0
PA00000065,옵션없음,옵션없음,0,0,0
PA00000066,옵션없음,옵션없음,0,0,0
PA00000067,옵션없음,옵션없음,0,0,0
PA00000068,옵션없음,옵션없음,0,0,0
PA00000069,옵션없음,옵션없음,0,0,0
