pmProductId,productName,legacyProductId,type
PB00000422,로그인보호서비스,NB00000627,other
PB00001590,웹문자 미니 콤보,NA00002440,other
PB00001693,택배Solution,NB00000294,other
PB00001561,T메모링 프리미엄,NA00004687,other
PB00001571,T ARS,NA00005172,other
PB00001570,T ARS 라이트,NA00005146,other
PB00001568,소리샘플러스,NA00005147,other
PB00001562,T메모링,NA00004195,other
PB00001589,웹문자라이트,NA00001410,other
PB00001588,웹문자프리미엄,NA00001411,other
PB00001574,080서비스,NA00000323,other
PB00001591,웹문자 메가 콤보,NA00002442,other
PB00000873,내트럭정보이용료,NB00000463,other
PB00001175,데이터세이프,NA00001577,other
PB00000745,프리나이트,NA00000142,other
PB00001169,미디어 프리,NA00005880,other
BA00000032,인피니티_여행,NA00006114,other
BA00000035,인피니티_콘텐츠,NA00006115,other
BA00000034,인피니티_스마트워치,NA00006116,other
PB00001184,LTE 팅 안심옵션,NA00004655,other
PB00000774,팅 안심옵션 프리미엄,NA00005064,other
PA00000206,컴팩트 데이터 충전 1GB,NA00008710,other
PA00000204,컴팩트플러스 데이터 충전 2GB,NA00008709,other
PB00000872,야쿠르트 그룹웨어,NA00002781,other
PB00001710,W-Zone,NA00002191,other
PB00001696,LBS관제정보료Premium,NA00002891,other
PB00000421,안전결제 프리미엄,NA00002027,other
PA00000213,0 청년 59 데이터 충전 100GB,NA00008262,other
PA00000205,0 청년 49 데이터 충전 4GB,NA00008703,other
MA00000049,SADM 비과금,NA00004848,other
PB00001167,비즈데이터서비스100,NA00004723,other
PB00000943,비즈데이터서비스500,NA00004724,other
PB00001166,비즈데이터서비스1000,NA00005216,other
PB00000945,비즈데이터서비스200,NA00004823,other
PB00000944,비즈데이터서비스50,NA00004722,other
PB00001188,LTE 데이터180,NA00003369,other
PB00001187,LTE 데이터250,NA00003370,other
PB00001186,LTE 데이터330,NA00003371,other
PB00001583,스마트콜센터2000,NA00005307,other
PB00001582,스마트콜센터4000,NA00005326,other
PB00001189,LTE 데이터130,NA00003368,other
PB00001606,P Biz Data,NA00005739,other
MA00000041,팅무선인터넷차단서비스,NA00001147,other
PA00000224,골든 온가족17share,NA00004784,other
PA00000223,골든에이지52 Share,NA00004457,other
PA00000222,골든에이지42 Share,NA00004456,other
PA00000221,골든에이지34Share,NA00003547,other
PA00000225,골든 온가족36share,NA00004786,other
PB00000744,프리존정액제,NA00002597,other
PA00000220,골든에이지15Share,NA00003546,other
PA00000208,슬림 데이터 충전 4GB,NA00008707,other
PA00000209,0 청년 37 데이터 충전 1GB,NA00008705,other
PA00000214,베이직 데이터 충전 3GB,NA00008708,other
PA00000215,베이직 플러스 데이터 충전 75GB,NA00008243,other
PB00001185,LTE 안심옵션,NA00003362,other
PB00001195,017홈콜(유료),NA00000149,other
PB00000284,휴대폰인증서서비스,NA00000682,other
PB00000285,휴대폰번호보호,NA00002666,other
PB00000286,휴대폰간편로그인,NA00004413,other
PB00000287,휴대폰 인증보호,NA00004203,other
PB00000288,휴대폰 안심결제,NA00005893,other
PB00000289,전화번호 안심로그인,NA00004602,other
PB00000290,원키퍼,NA00005622,other
PB00000291,스마트안전결제,NA00006378,other
PB00001560,EVDO데이터프리요금제,NA00001014,other
PB00000292,스마트공동인증,NA00004225,other
PB00000296,모션키,NA00006435,other
PB00000297,로그인플러스,NA00003691,other
PB00000298,USIM 스마트인증,NA00004064,other
PB00000301,MyOTP,NA00004251,other
PB00000417,휴대폰분실보호,NC00000093,other
PB00000418,휴대폰가족보호,NC00000145,other
PB00000419,스마트피싱보호,NC00000068,other
PB00000420,내정보지키미,NC00000091,other
PB00002041,아파트청약케어,NC00000143,other
PB00001431,비즈 태블릿 그룹웨어,NA00003696,other
PB00000294,스마트 사인,NA00004276,other
PB00000743,프리존정액제(기본형),NA00002711,other
MA00000029,데이터한도관리,NA00003018,other
MA00000023,올인원34한도관리,NA00003458,other
PA00000216,베이직 플러스 데이터 충전 50GB,NA00008242,other
PA00000217,베이직 플러스 데이터 충전 30GB,NA00008241,other
PA00000218,베이직 플러스 데이터 충전 13GB,NA00008240,other
PB00000679,T로밍 함께쓰기 3GB,NA00005690,other
PB00000676,T로밍 함께쓰기 6GB,NA00005693,other
PB00000643,로밍대용량55T 멤버,NA00006692,other
PB00000759,T로밍 Biz대용량1TB,NA00006625,other
PB00000649,로밍대용량1.7T 멤버,NA00006632,other
PB00000756,T로밍 Biz대용량7.5TB,NA00006628,other
PB00000647,로밍대용량1T 멤버,NA00006631,other
PB00000675,T로밍 함께쓰기 6GB (인증 전),NA00005694,other
PB00000757,T로밍 Biz대용량55TB,NA00006630,other
PB00000648,로밍대용량12T 멤버,NA00006691,other
PB00000674,T로밍 함께쓰기 6GB (자회선),NA00005695,other
PB00001550,넘버플러스II,NA00004073,other
PB00000678,T로밍 함께쓰기 3GB (인증 전),NA00005691,other
PB00000646,로밍대용량3.6T 멤버,NA00006689,other
PB00000765,T로밍 Biz대용량1.7TB,NA00006626,other
PB00000677,T로밍 함께쓰기 3GB (자회선),NA00005692,other
PB00000758,T로밍 Biz대용량3.6TB,NA00006627,other
PB00000642,로밍대용량7.5T 멤버,NA00006690,other
PB00000760,T로밍 Biz대용량12TB,NA00006629,other
PB00000416,팅프리존서비스,NA00002865,other
PB00001701,홈파이콜,NA00007512,other
PA00000210,0 청년 59 데이터 충전 60GB,NA00008263,other
BA00000033,인피니티_클럽할인,NA00006117,other
PA00000212,0 청년 59 데이터 충전 15GB,NA00008265,other
PD00000018,T&캡스(예약),NA00006308,other
PA00000211,0 청년 59 데이터 충전 36GB,NA00008264,other
PA00000232,주말엔 팅 세이브,NA00005627,other
PD00000019,T&캡스,NA00006283,other
PD00000023,기업용 결합상품(B1),NH00000044,other
PB00001433,모바일그룹웨어(BYOD),NA00004239,other
PB00001173,데이터존프리225,NA00002605,other
PB00001174,데이터존프리135,NA00002572,other
PB00001191,Data 70_이월정액제,NA00000720,other
PB00001192,Data 35_이월정액제,NA00000719,other
PB00001253,코미코 웹툰 프리,NA00005726,other
PB00000251,T괌사이판 국내처럼,NA00006226,other
PB00001250,구_멜론 익스트리밍 플러스,NA00005340,other
PB00001254,구)멜론 익스트리밍,NA00006360,other
PB00001251,구_멜론 익스트리밍,NA00003483,other
PB00001252,구)멜론 익스트리밍 플러스,NA00006362,other
PB00001213,멜론 익스트리밍,NA00006415,other
PB00001203,멜론 익스트리밍 플러스,NA00006417,other
PB00001201,벅스 익스트리밍,NA00005335,other
PB00001632,Biz Data 1G,NA00005743,other
PB00001607,Biz Data P,NA00005745,other
PB00001609,Biz Data 4G,NA00005744,other
PD00000020,기업용 결합상품(L2),NH00000047,other
PB00000721,프리할리데이50,NA00002814,other
PA00000207,0 청년 43 데이터 충전 2GB,NA00008704,other
PB00000918,안심데이터100,NA00002244,other
PB00000917,안심데이터150,NA00002373,other
PB00001190,DATA안심(신규중단),NA00001071,other
PB00000886,존프리통화료100,NA00002573,other
PD00000021,기업용 결합상품(L1),NH00000045,other
PD00000022,기업용 결합상품(B2),NH00000046,other
PB00001176,긴통화무료옵션,NA00000138,other
PB00001555,T데이터셰어링,NA00002887,other
PB00000741,프리할리데이100,NA00000136,other
PB00000865,Biz데이터프리,NA00005697,other
PB00000888,안심데이터190,NA00002494,other
PB00000446,모바일그룹웨어군공공,NA00004709,other
PB00001593,메시지커플,NA00002813,other
PB00001594,메시지버디,NA00001626,other
PB00001592,메시지프리미엄,NA00000966,other
PA00000219,T끼리법인요금제,NA00002974,other
PB00001597,메시지 프리미엄 1200,NA00002363,other
PB00001600,(구)메시지커플,NA00001630,other
PB00001595,메시지레귤러,NA00000538,other
PB00001596,메시지라이트,NA00000537,other
PB00000447,T Zone 요금,NA00002549,other
PB00000772,팅데이터프리정액제,NA00001579,other
PB00000882,존프리통화료150,NA00002604,other
PB00000881,존프리통화료190,NA00002606,other
PA00000624,LTE팅34,,other
PA00000621,3G T끼리팅55,,other
PA00000620,band 팅 2.0G,,other
PA00000618,band 팅 세이브,,other
PA00000602,LTE팅42,,other
PA00000609,3G band 팅 3.0G,,other
PA00000608,3G band 팅 2.0G,,other
PA00000575,팅문자무제한무료요금제,,other
PA00000577,LTE팅52,,other
PA00000625,3G T끼리팅35,,other
PA00000557,팅주니어표준+요금,,other
PA00000627,주말엔 팅 5.0G,,other
PA00000246,LTE T끼리팅55,,other
PA00000110,ZEM플랜 워치(문자),,other
PA00000139,ZEM플랜 워치,,other
PA00000553,팅100요금제,,other
PA00000628,주말엔 팅 3.0G,,other
PA00000548,017아이니요금제,,other
PA00000299,팅PLUS24요금,,other
PA00000540,온가족 행복플랜 팅47,,other
PA00000245,LTE T끼리팅45,,other
PA00000292,자녀안심요금제,,other
PA00000294,팅프리존19요금,,other
PA00000297,팅PLUS14요금,,other
PA00000309,팅PLUS19요금,,other
PA00000313,팅PLUS29요금,,other
PA00000331,팅문자프리미엄요금제,,other
PA00000340,올인원팅44,,other
PA00000341,팅스마트24,,other
PA00000342,팅스마트29,,other
PA00000541,온가족 행복플랜 팅57,,other
PA00000343,팅스마트19,,other
PA00000372,3G band 팅 세이브,,other
PA00000394,LTE팅24,,other
PA00000425,017아이니플러스요금제,,other
PA00000428,band 팅 3.0G,,other
PA00000475,팅500요금제,,other
PA00000482,팅프리존29요금,,other
PA00000495,팅별조절요금제,,other
PA00000498,팅프리존24요금,,other
PA00000501,팅주니어표준,,other
PA00000509,팅프리존34요금,,other
PA00000519,온가족 행복플랜 팅37,,other
PA00000353,올인원팅34,,other
NA00006161,0플랜 주말 데이터 무제한,,other
