pmProductId,description
PA00000001,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['유심개통', '쓰던폰', 'USIM개통', '비대면', '자급제', '온라인', '데이터100GB 이하', 'T다샵', '다이렉트플랜', '티다이렉트샵', '티다샵', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 15GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 38)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2021.01.14~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (34546원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (38000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (38000원)"
PA00000002,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (LTE 다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['자급제', '비대면', '온라인', '티다샵', '티다이렉트샵', '유심개통', 'USIM개통', '쓰던폰', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 1.8GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (DirectLTE 22)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2021.01.14~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (20000원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (22000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (22000원)"
PA00000003,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (LTE 다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['쓰던폰', '자급제', '비대면', '온라인', '티다이렉트샵', '유심개통', 'USIM개통', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵', '티다샵'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 5GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (DirectLTE 35)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2021.01.14~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (31819원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (35000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (35000원)"
PA00000004,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (LTE 다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['온라인', '유심개통', 'USIM개통', '쓰던폰', '자급제', '100GB이상', '비대면', '티다샵', '티다이렉트샵', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 100GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (DirectLTE 48)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2021.01.14~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (43637원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (48000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (48000원)"
PA00000005,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['온라인', '티다이렉트샵', '티다샵', 'USIM개통', '유심개통', '자급제', '쓰던폰', '비대면', '100GB이상', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 200GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 52)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2021.01.14~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (47273원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (52000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (52000원)"
PA00000006,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['USIM개통', 'T다샵', 'T다이렉트전용요금제', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '비대면', '데이터100GB 이하', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '자급제'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 24GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 42)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2022.08.04~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (38182원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (42000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (42000원)"
PA00000007,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['데이터100GB 이하', '비대면', '온라인', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '자급제', 'T다이렉트전용요금제', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', 'wavve할인혜택'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 11GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 34)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2022.08.04~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (30909원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (34000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (34000원)"
PA00000008,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['비대면', '100GB이상', '온라인', '자급제', '쓰던폰', 'USIM개통', 'T다이렉트전용요금제', 'wavve할인혜택', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', '유심개통', '티다이렉트샵'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 110GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 48)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2022.12.19~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (43637원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (48000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (48000원)"
PA00000009,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['USIM개통', 'T다샵', 'T다이렉트전용요금제', '100GB이상', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '스마트워치요금50%할인', '비대면', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '태블릿요금50%할인', '자급제'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (월 250GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 55)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2022.12.19~9999.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (50000원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (55000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (55000원)"
PA00000010,"label: 상품라인업,	description: (Product meta 시스템에서 상품의 속성(마케팅, 기술측면 등)이 유사한 것을 하나의 그룹으로 만들어 관리할 수 있으며, 이 때 상품이 속한 상품 그룹의 명칭을 의미함),	value: (다이렉트플랜)
label: 마케팅 키워드,	description: (상품을 설명하는 핵심 키워드),	value: (['온라인', '비대면', '티다샵', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '데이터무제한', '자급제', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜', '스마트워치요금할인혜택', '멤버십VIP혜택', '우주패스무료혜택', '태블릿요금할인혜택', 'FLO무료혜택', '콘텐츠할인', '혜택요금제', 'wavve무료혜택'])
label: 상품 설명,	description: (상품을 주요 속성 등을 서술),	value: (데이터를 무제한으로 이용 가능하며 T멤버십 VIP, 구독서비스 무료 등 다양한 혜택을 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제)
label: 상품명(영문명),	description: (Product meta 시스템에서 해당 상품의 일컫는 영문 명칭),	value: (Direct5G 69)
label: 상품 운영 기간,	description: (상품 운영 상태가 '운영'으로 전환된 시작일부터 상품 운영 상태가 '가입중단' 으로 전환되기 전일까지를 의미함),	value: (2022.12.19~2042.12.31)
label: 필수 안내 사항,	description: (상품 가입 전후 반드시 고객에게 안내해야 하는 유의사항을 의미함),	value: (정보없음)
label: 상품 가입 조건,	description: (상품을 가입하기 위하여 갖추어야 할 항목(조건)을 의미함),	value: (T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능)
label: 관리 정보,	value: (고객센터, 대리점, T월드 가입 가능)
label: 운영상태,	description: (상품의 관리 단계를 나타내는 정보 항목으로 기획-개발-검증-출시-운영-가입중단-퇴출예정-퇴출으로 구분되어 있으며, 운영인 상태에서만 고객 가입이 가능함),	value: (True)
label: 청구방식 (선불/후불),	description: (월정액 납부 방식을 의미하며, 선불은 서비스 이용 전 미리 요금을 납부하는 것이며 후불은 서비스 이용 후 요금을 납부하는 것을 의미함 ),	value: (후불)
label: 월정액(VAT 제외),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 제외),	value: (62728원)
label: 월정액(VAT 포함 선택약정 반영 금액),	description: (월 단위로 납부하는 고정 요금으로 부가가치세(VAT) 포함하며, 선택약정혜택으로 인한 요금할인을 반영한 금액),	value: (69000원)
label: 월정액(VAT 포함),	description: (월 단위로 납부하는 고정 요금, 부가가치세(VAT) 포함),	value: (69000원)"
