pmProductId,approvalinfo,classifiedgroup,generation,lineup,marketingkeyword,productdescription,productid,productnameinenglish,productoperationperiod,productrequirednotice,productsubscriptioncondition,productsubscriptionmethod,statusofoperation,versioninfo,productoperationperiodFrom,productoperationperiodTo,billingmethod,monthlypricewithoutvat,monthlypricewithselectableinstallment,monthlyprice
PA00000001,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",다이렉트플랜,"['유심개통', '쓰던폰', 'USIM개통', '비대면', '자급제', '온라인', '데이터100GB 이하', 'T다샵', '다이렉트플랜', '티다이렉트샵', '티다샵', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제']",월 15GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000001,Direct5G 38,2021.01.14~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2021-01-14,2262-04-11,후불,34546,38000,38000
PA00000002,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",LTE 다이렉트플랜,"['자급제', '비대면', '온라인', '티다샵', '티다이렉트샵', '유심개통', 'USIM개통', '쓰던폰', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵']",월 1.8GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000002,DirectLTE 22,2021.01.14~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2021-01-14,2262-04-11,후불,20000,22000,22000
PA00000003,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",LTE 다이렉트플랜,"['쓰던폰', '자급제', '비대면', '온라인', '티다이렉트샵', '유심개통', 'USIM개통', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵', '티다샵']",월 5GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000003,DirectLTE 35,2021.01.14~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2021-01-14,2262-04-11,후불,31819,35000,35000
PA00000004,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",LTE 다이렉트플랜,"['온라인', '유심개통', 'USIM개통', '쓰던폰', '자급제', '100GB이상', '비대면', '티다샵', '티다이렉트샵', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵']",월 100GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000004,DirectLTE 48,2021.01.14~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2021-01-14,2262-04-11,후불,43637,48000,48000
PA00000005,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",다이렉트플랜,"['온라인', '티다이렉트샵', '티다샵', 'USIM개통', '유심개통', '자급제', '쓰던폰', '비대면', '100GB이상', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜']",월 200GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000005,Direct5G 52,2021.01.14~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2021-01-14,2262-04-11,후불,47273,52000,52000
PA00000006,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",다이렉트플랜,"['USIM개통', 'T다샵', 'T다이렉트전용요금제', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '비대면', '데이터100GB 이하', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '자급제']",월 24GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000006,Direct5G 42,2022.08.04~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2022-08-04,2262-04-11,후불,38182,42000,42000
PA00000007,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",다이렉트플랜,"['데이터100GB 이하', '비대면', '온라인', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '자급제', 'T다이렉트전용요금제', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', 'wavve할인혜택']",월 11GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000007,Direct5G 34,2022.08.04~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2022-08-04,2262-04-11,후불,30909,34000,34000
PA00000008,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",다이렉트플랜,"['비대면', '100GB이상', '온라인', '자급제', '쓰던폰', 'USIM개통', 'T다이렉트전용요금제', 'wavve할인혜택', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', '유심개통', '티다이렉트샵']",월 110GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000008,Direct5G 48,2022.12.19~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2022-12-19,2262-04-11,후불,43637,48000,48000
PA00000009,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['5G', 'LTE']",다이렉트플랜,"['USIM개통', 'T다샵', 'T다이렉트전용요금제', '100GB이상', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '스마트워치요금50%할인', '비대면', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '태블릿요금50%할인', '자급제']",월 250GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,PA00000009,Direct5G 55,2022.12.19~9999.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2022-12-19,2262-04-11,후불,50000,55000,55000
PA00000010,요금팀/이현정,상품 > 기본요금제 > 휴대폰 요금제,"['LTE', '5G']",다이렉트플랜,"['온라인', '비대면', '티다샵', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '데이터무제한', '자급제', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜', '스마트워치요금할인혜택', '멤버십VIP혜택', '우주패스무료혜택', '태블릿요금할인혜택', 'FLO무료혜택', '콘텐츠할인', '혜택요금제', 'wavve무료혜택']","데이터를 무제한으로 이용 가능하며 T멤버십 VIP, 구독서비스 무료 등 다양한 혜택을 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제",PA00000010,Direct5G 69,2022.12.19~2042.12.31,,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,"고객센터, 대리점, T월드 가입 가능",False,1.0,2022-12-19,2042-12-31,후불,62728,69000,69000
