pmProductId,description
PA00000001,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000002,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000003,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000004,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000005,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000006,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000007,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000008,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000009,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
PA00000010,"label: (선택2)기본 제공 문자_별도 설정,	value: (정보없음)
label: (선택1)기본 제공 문자,	description: (월정액에 포함되어 제공되는 문자(SMS/LMS/MMS 해당, 월 단위) 한도를 의미하며, 기본 제공일 경우 무제한으로 제공됨.),	value: (기본제공)"
