pmProductId,description
PA00000001,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000002,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000003,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000004,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000005,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000006,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000007,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000008,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000009,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
PA00000010,"label: Y/N,	description: (충전서비스는 만 18세 이하 청소년을 대상으로 하는 서비스로 특정 요금제 가입하는 경우 음성/문자/데이터 기본 제공량을 모두 소진 시 차단이 된 후 일정 금액을 충전하여 충전한 금액 한도 내에서 추가로 음성/문자/데이터를 이용할 수 있는 서비스를 의미함. 충전 서비스 대상이 Y인 경우 이를 이용 가능한 상품임을 의미함),	value: (N)"
