pmProductId,includedvideoorvalueaddedcall,numberofservice,providingamount,voicecallrange|range,voicecallrange|providingamount,includedvoicecallvideoorvalueaddedcallseparatesetting|voicecallrange|range,includedvoicecall
PA00000001,300,0,0,0,0,0,999999
PA00000002,100,0,0,0,0,0,999999
PA00000003,300,0,0,0,0,0,999999
PA00000004,300,0,0,0,0,0,999999
PA00000005,300,0,0,0,0,0,999999
PA00000006,300,0,0,0,0,0,999999
PA00000007,300,0,0,0,0,0,999999
PA00000008,300,0,0,0,0,0,999999
PA00000009,300,0,0,0,0,0,999999
PA00000010,300,0,0,0,0,0,999999
PA00000011,150,0,0,0,0,0,999999
PA00000012,300,0,0,0,0,0,999999
PA00000013,300,0,0,0,0,0,999999
PA00000014,300,0,0,0,0,0,999999
PA00000015,300,0,0,0,0,0,999999
PA00000016,300,0,0,0,0,0,999999
PA00000017,300,0,0,0,0,0,999999
PA00000018,300,0,0,0,0,0,999999
PA00000019,300,0,0,0,0,0,999999
PA00000020,300,0,0,0,0,0,999999
PA00000021,300,0,0,0,0,0,999999
PA00000022,0,0,0,0,0,0,0
PA00000023,50,0,0,0,0,0,999999
PA00000024,50,0,0,0,0,0,999999
PA00000025,50,0,0,0,0,0,999999
PA00000026,50,0,0,0,0,0,999999
PA00000027,300,0,0,0,0,0,999999
PA00000028,300,0,0,0,0,0,999999
PA00000029,0,0,999999,0,60,0,0
PA00000030,300,0,0,0,0,0,999999
PA00000031,0,0,999999,0,50,0,0
PA00000032,100,0,0,0,0,0,999999
PA00000033,300,0,0,0,0,0,999999
PA00000034,300,0,0,0,0,0,999999
PA00000035,300,0,0,0,0,0,999999
PA00000036,300,0,0,0,0,0,999999
PA00000037,150,0,0,0,0,0,999999
PA00000038,300,0,0,0,0,0,999999
PA00000039,300,0,0,0,0,0,999999
PA00000040,300,0,0,0,0,0,999999
PA00000041,300,0,0,0,0,0,999999
PA00000042,300,0,0,0,0,0,999999
PA00000043,100,0,0,0,0,0,999999
PA00000044,150,0,0,0,0,0,999999
PA00000045,300,0,0,0,0,0,999999
PA00000046,300,0,0,0,0,0,999999
PA00000047,300,0,0,0,0,0,999999
PA00000048,300,0,0,0,0,0,999999
PA00000049,300,0,0,0,0,0,999999
PA00000050,300,0,0,0,0,0,999999
PA00000051,300,0,0,0,0,0,999999
PA00000052,100,0,0,0,0,0,999999
PA00000053,300,0,0,0,0,0,999999
PA00000054,300,0,0,0,0,0,999999
PA00000055,300,0,0,0,0,0,999999
PA00000056,100,0,0,0,0,0,999999
PA00000057,300,0,0,0,0,0,999999
PA00000058,100,0,0,0,0,0,999999
PA00000059,300,0,0,0,0,0,999999
PA00000060,300,0,0,0,0,0,999999
PA00000061,300,0,0,0,0,0,999999
PA00000062,400,0,0,0,0,0,999999
PA00000063,400,0,0,0,0,0,999999
PA00000064,400,0,0,0,0,0,999999
PA00000065,300,0,0,0,0,0,999999
PA00000066,300,0,0,0,0,0,999999
PA00000067,300,0,0,0,0,0,999999
PA00000068,300,0,0,0,0,0,999999
PA00000069,300,0,0,0,0,0,999999
PA00000070,300,0,0,0,0,0,999999
PA00000071,300,0,0,0,0,0,999999
PA00000072,300,0,0,0,0,0,999999
PA00000073,300,0,0,0,0,0,999999
PA00000074,300,0,0,0,0,0,999999
PA00000075,300,0,0,0,0,0,999999
PA00000076,300,0,0,0,0,0,999999
PA00000077,300,0,0,0,0,0,999999
PA00000078,300,0,0,0,0,0,999999
PA00000079,300,0,0,0,0,0,999999
PA00000080,300,0,0,0,0,0,999999
PA00000081,300,0,0,0,0,0,999999
PA00000082,300,0,0,0,0,0,999999
PA00000083,300,0,0,0,0,0,999999
PA00000084,300,0,0,0,0,0,999999
PA00000085,300,0,0,0,0,0,999999
PA00000086,300,0,0,0,0,0,999999
PA00000087,300,0,0,0,0,0,999999
PA00000088,300,0,0,0,0,0,999999
PA00000089,300,0,0,0,0,0,999999
PA00000090,300,0,0,0,0,0,999999
PA00000091,300,0,0,0,0,0,999999
PA00000092,300,0,0,0,0,0,999999
PA00000093,300,0,0,0,0,0,999999
PA00000094,300,0,0,0,0,0,999999
PA00000095,30,0,0,0,0,0,30
PA00000096,100,0,0,0,0,0,999999
PA00000097,300,0,0,0,0,0,999999
PA00000098,70,0,0,0,0,0,999999
PA00000099,150,0,0,0,0,0,999999
PA00000100,100,0,0,0,0,0,999999
PA00000101,300,0,0,0,0,0,999999
PA00000102,300,0,0,0,0,0,999999
PA00000103,300,0,0,0,0,0,999999
PA00000104,300,0,0,0,0,0,999999
PA00000105,300,0,0,0,0,0,999999
PA00000106,300,0,0,0,0,0,999999
PA00000107,300,0,0,0,0,0,999999
PA00000108,300,0,0,0,0,0,999999
PA00000109,300,0,0,0,0,0,999999
PA00000228,0,0,0,0,0,0,0
PA00000231,300,0,0,0,0,0,999999
PA00000693,300,0,0,0,0,0,999999
PA00002803,300,0,0,0,0,0,999999
PA00002804,300,0,0,0,0,0,999999
PA00002805,300,0,0,0,0,0,999999
PA00002806,300,0,0,0,0,0,999999
PA00002807,300,0,0,0,0,0,999999
PA00002808,300,0,0,0,0,0,999999
PA00002809,300,0,0,0,0,0,999999
PA00002810,300,0,0,0,0,0,999999
PA00002811,300,0,0,0,0,0,999999
PA00002812,300,0,0,0,0,0,999999
PA00002813,300,0,0,0,0,0,999999
PA00002814,300,0,0,0,0,0,999999
PA00002815,300,0,0,0,0,0,999999
