pmProductID,optionData.dataOptionProvidingMethod,optionData.optionDataName.value,optionData.selectionMethod.value,optionData.totalNumOfOptions.value,optionData.minNumOfOptionSelectable.value,optionData.maxNumOfOptionSelectable.value
PA00000001,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000002,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000003,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000004,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000005,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000006,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000007,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000008,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000009,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000010,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000011,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000012,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000013,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000014,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000015,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000016,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000017,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000018,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000019,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000020,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000021,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000022,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000023,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000024,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000025,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000026,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000027,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000028,"[{'productId': '-', 'productName': '매일 2GB+3Mbps 데이터 추가', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}]",매일 추가 데이터 제공,포함 옵션,1,1,1
PA00000029,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000030,"[{'productId': '-', 'productName': '매일 2GB+3Mbps 데이터 추가', 'extradataAmount': '2GB', 'monthlyPrice': '무료', 'DiscountRate': None}]",매일 추가 데이터 제공,포함 옵션,1,1,1
PA00000031,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000032,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000033,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000034,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000035,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000036,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000037,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000038,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000039,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000040,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000041,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000042,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000043,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000044,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000045,"[{'productId': None, 'productName': '심야데이터 75% 할인', 'extradataAmount': None, 'monthlyPrice': '무료', 'DiscountRate': '75%'}]",심야데이터 할인,포함 옵션,1,1,1
PA00000046,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000047,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000048,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000049,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000050,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000051,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000052,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000053,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000054,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000055,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000056,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000057,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000058,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000059,"[{'productId': 'NA00008243', 'productName': '베이직 플러스 데이터 충전 75GB', 'extradataAmount': '75GB', 'monthlyPrice': '9000원', 'DiscountRate': None}, {'productId': 'NA00008242', 'productName': '베이직 플러스 데이터 충전 50GB', 'extradataAmount': '50GB', 'monthlyPrice': '7000원', 'DiscountRate': None}, {'productId': 'NA00008241', 'productName': '베이직 플러스 데이터 충전 30GB', 'extradataAmount': '30GB', 'monthlyPrice': '5000원', 'DiscountRate': None}, {'productId': 'NA00008240', 'productName': '베이직 플러스 데이터 충전 13GB', 'extradataAmount': '13GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",베이직 플러스 데이터 옵션,선택 옵션,4,0,1
PA00000060,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000061,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000062,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000063,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000064,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000065,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000066,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000067,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000068,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000069,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000070,"[{'productId': 'NA00008710', 'productName': '컴팩트 데이터 충전 1GB', 'extradataAmount': '1GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",컴팩트 데이터 옵션,포함 옵션,1,0,1
PA00000071,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000072,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000073,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000074,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000075,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000076,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
