productId,productBenefitConditions.optionalOfferBenefits.optionalOfferBenefitDetailList
PA00000001,
PA00000002,
PA00000003,
PA00000004,
PA00000005,
PA00000006,
PA00000007,
PA00000008,
PA00000009,
PA00000010,"[{'productId': 'BA00000038', 'productName': 'FLO 무료'}, {'productId': 'BA00000041', 'productName': 'Wavve 무료'}, {'productId': 'BA00001857', 'productName': '우주패스 편의점&카페 할인'}, {'productId': 'BA00001871', 'productName': 'T우주패스 쇼핑(11번가/G마켓) 제공'}]"
PA00000011,
PA00000012,"[{'productId': 'BA00000039', 'productName': 'FLO 할인'}, {'productId': 'BA00000042', 'productName': 'Wavve 할인'}, {'productId': 'BA00001857', 'productName': '우주패스 편의점&카페 할인'}, {'productId': 'BA00001871', 'productName': 'T우주패스 쇼핑(11번가/G마켓) 제공'}]"
PA00000013,
PA00000014,
PA00000015,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00001870', 'productName': 'Wavve & FLO 동시할인'}]"
PA00000016,"[{'productId': 'BA00000039', 'productName': 'FLO 할인'}, {'productId': 'BA00000042', 'productName': 'Wavve 할인'}, {'productId': 'BA00001872', 'productName': 'T우주패스 쇼핑 제공(FLO 또는 Wavve 옵션 선택 필요)'}, {'productId': 'BA00001874', 'productName': 'T우주패스 편의점&카페 할인(FLO 또는 Wavve 옵션 선택 필요)'}]"
PA00000017,
PA00000018,
PA00000019,
PA00000020,
PA00000021,
PA00000022,
PA00000023,
PA00000024,
PA00000025,
PA00000026,
PA00000027,
PA00000028,
PA00000029,
PA00000030,
PA00000031,
PA00000032,
PA00000033,
PA00000034,
PA00000035,
PA00000036,"[{'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000076', 'productName': '인피니티 콘텐츠 혜택'}, {'productId': 'BA00000077', 'productName': '인피니티 여행 혜택'}]"
PA00000037,
PA00000038,
PA00000039,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00001870', 'productName': 'Wavve & FLO 동시할인'}]"
