pmProductID,productBenefitConditions.allOfferBenefits.benefitInfo
PA00000001,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000002,
PA00000003,
PA00000004,
PA00000005,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000006,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000007,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000008,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000009,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000010,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}]"
PA00000011,
PA00000012,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000013,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000014,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000015,
PA00000016,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}]"
PA00000017,
PA00000018,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000019,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000020,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000021,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000078', 'productName': '0청년 영화할인'}, {'productId': 'BA00000079', 'productName': '0청년 로밍할인'}, {'productId': 'BA00000080', 'productName': '0청년 커피할인'}]"
PA00000022,
PA00000023,
PA00000024,
PA00000025,
PA00000026,
PA00000027,
PA00000028,
PA00000029,
PA00000030,
PA00000031,
PA00000032,
PA00000033,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000034,
PA00000035,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}]"
PA00000036,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}]"
PA00000037,
PA00000038,
PA00000039,
PA00000040,"[{'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000041,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000042,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}]"
PA00000043,
PA00000044,
PA00000045,
PA00000046,
PA00000047,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}]"
PA00000048,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}]"
PA00000049,
PA00000050,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000051,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000052,
PA00000053,
PA00000054,
PA00000055,
PA00000056,
PA00000057,
PA00000058,
PA00000059,"[{'productId': 'BA00000047', 'productName': 'Wavve 2천원 할인'}]"
PA00000060,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}, {'productId': 'BA00000058', 'productName': '단말보험할인 ①'}, {'productId': 'BA00002132', 'productName': '갤럭시 AI 클럽 할인'}]"
PA00000061,"[{'productId': 'BA00000037', 'productName': 'T멤버십 VIP'}, {'productId': 'BA00000056', 'productName': '태블릿/스마트워치 요금할인'}]"
PA00000062,
PA00000063,
PA00000064,
