pmProductID,ageRule,customerTypeEligibility,customerTypeValueList,individualCustomerSubtypeEligibility,individualCustomerSubtypeValueList,directPlanOnboard,fixedPlanContractConcurrentSignupRestriction,tsupportFundOnboard,duplicateNameOnboardEligibility,duplicateNameOnboardGroupList,specialCustomerIsSoldier
PA00000001,[],,,,,Y,Y,Y,,,
PA00000002,[],,,,,Y,Y,Y,,,
PA00000003,[],,,,,Y,Y,Y,,,
PA00000004,[],,,,,Y,Y,Y,,,
PA00000005,[],,,,,Y,Y,Y,,,
PA00000006,[],,,,,Y,Y,Y,,,
PA00000007,[],,,,,Y,Y,Y,,,
PA00000008,[],,,,,Y,Y,Y,,,
PA00000009,[],,,,,Y,Y,Y,,,
PA00000010,[],,,,,Y,Y,Y,,,
PA00000011,[],,,,,Y,Y,Y,,,
PA00000012,[],,,,,Y,Y,Y,,,
PA00000013,[],,,,,Y,Y,Y,,,
PA00000014,[],,,,,Y,Y,Y,,,
PA00000015,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 34'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000016,"[{'eligibility': True, 'value': '연령 (일기준) 나이 이상 65'}]",False,"['공공기관', '법인']",,,,,,,['ONESVC_SILVER_PROD'],
PA00000017,"[{'eligibility': True, 'value': '연령 (일기준) 나이 이상 65'}]",False,"['공공기관', '법인']",,,,,,,['ONESVC_SILVER_PROD'],
PA00000018,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 34'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000019,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 34'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000020,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 34'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000021,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 34'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000022,[],,,,,,,,,,
PA00000023,[],,,,,,,,,,
PA00000024,[],,,,,,,,,,
PA00000025,[],,,,,,,,,,
PA00000026,[],,,,,,,,,,
PA00000027,[],,,,,,,,,,
PA00000028,[],,,,,,,,,,
PA00000029,"[{'eligibility': True, 'value': '연령 (월기준) 나이 이하 12'}]",True,['개인'],,,,,,,['TING_PRCPLN'],
PA00000030,[],,,,,,,,,,
