pmProductID,includedData,includedDataForSharingAndTethering,includedMVoIP,appliedSpeed,seniorDataExceedAvailable,generalDataExceedAvailable,dataRefillAmount,dataRefillCouponGiftingAvailability,maximumShareAmount,dataGiftReceivingAvailability
PA00000001,15.0,15.0,15.0,1.0,N,N,15.0,Y,2GB,Y
PA00000002,1.8,1.8,1.8,0.0,N,Y,1.8,Y,2GB,Y
PA00000003,5.0,5.0,5.0,1.0,N,N,5.0,Y,2GB,Y
PA00000004,100.0,30.0,100.0,5.0,N,N,30.0,Y,2GB,Y
PA00000005,200.0,54.0,200.0,5.0,N,N,54.0,Y,2GB,Y
PA00000006,24.0,24.0,24.0,1.0,N,N,24.0,Y,2GB,Y
PA00000007,11.0,11.0,11.0,0.4,N,N,11.0,Y,2GB,Y
PA00000008,110.0,48.0,110.0,5.0,N,N,48.0,Y,2GB,Y
PA00000009,250.0,54.0,250.0,5.0,N,N,54.0,Y,2GB,Y
PA00000010,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000011,2.5,2.5,2.5,0.4,N,N,2.5,Y,2GB,Y
PA00000012,99999.0,60.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000013,6.0,6.0,6.0,0.4,N,N,6.0,Y,2GB,Y
PA00000014,8.0,8.0,8.0,0.4,N,N,8.0,Y,2GB,Y
PA00000015,100.0,40.0,100.0,5.0,N,N,40.0,Y,2GB,Y
PA00000016,160.0,40.0,160.0,5.0,N,N,40.0,Y,2GB,Y
PA00000017,110.0,30.0,110.0,5.0,N,N,30.0,Y,2GB,Y
PA00000018,136.0,36.0,136.0,1.0,N,N,36.0,Y,2GB,Y
PA00000019,72.0,36.0,72.0,1.0,N,N,36.0,Y,2GB,Y
PA00000020,96.0,36.0,96.0,1.0,N,N,36.0,Y,2GB,Y
PA00000021,51.0,36.0,51.0,1.0,N,N,36.0,Y,2GB,Y
PA00000022,0.0,0.0,0.0,0.0,N,Y,99999.0,Y,,
PA00000023,0.29296875,0.29296875,0.29296875,0.0,N,Y,0.29296875,Y,,Y
PA00000024,1.2,1.2,1.2,0.0,N,Y,1.2,Y,2GB,Y
PA00000025,2.2,2.2,2.2,0.0,N,Y,2.2,Y,2GB,Y
PA00000026,3.5,3.5,3.5,0.0,N,Y,3.5,Y,2GB,Y
PA00000027,6.5,6.5,6.5,0.0,N,Y,6.5,Y,2GB,Y
PA00000028,11.0,11.0,11.0,3.0,N,N,11.0,Y,2GB,Y
PA00000029,1.0,1.0,1.0,0.0,N,Y,1.0,Y,,Y
PA00000030,16.0,16.0,16.0,3.0,N,N,16.0,Y,2GB,Y
PA00000031,0.29296875,0.29296875,0.0,0.4,N,Y,0.29296875,Y,,Y
PA00000032,1.2,1.2,1.2,0.0,N,Y,2.0,Y,2GB,Y
PA00000033,4.0,4.0,4.0,0.0,N,N,6.0,Y,2GB,Y
PA00000034,100.0,30.0,100.0,5.0,N,N,30.0,Y,2GB,Y
PA00000035,150.0,40.0,150.0,5.0,N,N,40.0,Y,2GB,Y
PA00000036,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000037,2.0,2.0,2.0,0.4,N,N,48.0,Y,2GB,Y
PA00000038,6.0,6.0,6.0,1.0,N,N,6.0,Y,2GB,Y
PA00000039,100.0,40.0,100.0,5.0,N,N,40.0,Y,2GB,Y
PA00000040,200.0,40.0,200.0,5.0,N,N,40.0,Y,2GB,Y
PA00000041,99999.0,60.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000042,99999.0,120.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000043,1.5,1.5,1.5,0.0,N,Y,1.5,Y,2GB,Y
PA00000044,2.5,2.5,2.5,0.4,N,N,2.5,Y,2GB,Y
PA00000045,4.0,4.0,4.0,1.0,N,N,4.0,Y,2GB,Y
PA00000046,100.0,30.0,100.0,5.0,N,N,30.0,Y,2GB,Y
PA00000047,150.0,40.0,150.0,5.0,N,N,40.0,Y,2GB,Y
PA00000048,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000049,9.0,9.0,9.0,1.0,N,N,9.0,Y,,Y
PA00000050,110.0,48.0,110.0,5.0,N,N,48.0,Y,2GB,Y
PA00000051,250.0,54.0,250.0,5.0,N,N,54.0,Y,2GB,Y
PA00000052,2.0,2.0,2.0,0.4,N,N,2.0,,,Y
PA00000053,100.0,40.0,100.0,5.0,N,N,40.0,Y,,Y
PA00000054,12.0,12.0,12.0,1.0,N,N,12.0,Y,,Y
PA00000055,6.0,6.0,6.0,0.4,N,N,6.0,Y,,Y
PA00000056,2.5,2.5,2.5,0.4,N,N,2.5,Y,,Y
PA00000057,4.0,4.0,4.0,1.0,N,N,4.0,,,Y
PA00000058,2.0,2.0,2.0,0.4,N,N,2.0,,,Y
PA00000059,24.0,24.0,24.0,1.0,N,N,24.0,Y,2GB,Y
PA00000060,99999.0,120.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000061,99999.0,60.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000062,10.0,10.0,10.0,1.0,N,N,10.0,Y,2GB,Y
PA00000063,9.0,9.0,9.0,1.0,N,N,9.0,Y,2GB,Y
PA00000064,8.0,8.0,8.0,1.0,N,N,8.0,Y,2GB,Y
PA00000065,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000066,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000067,99999.0,60.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000068,99999.0,100.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000069,99999.0,80.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
PA00000070,6.0,6.0,6.0,0.4,N,N,6.0,Y,2GB,Y
PA00000071,99999.0,100.0,99999.0,0.0,N,N,99999.0,Y,2GB,Y
