pmProductID,deductibilityForDisability,additionalOfferForDisabilities
PA00000001,N,
PA00000002,Y,200분
PA00000003,N,
PA00000004,N,
PA00000005,N,
PA00000006,N,
PA00000007,N,
PA00000008,N,
PA00000009,N,
PA00000010,N,
PA00000011,N,
PA00000012,N,
PA00000013,N,
PA00000014,N,
PA00000015,N,
PA00000016,N,
PA00000017,N,
PA00000018,N,
PA00000019,N,
PA00000020,N,
PA00000021,N,
PA00000022,N,
PA00000023,Y,250분
PA00000024,Y,250분
PA00000025,Y,250분
PA00000026,Y,250분
PA00000027,N,
PA00000028,N,
PA00000029,N,
PA00000030,N,
PA00000031,N,
PA00000032,Y,200분
PA00000033,N,
PA00000034,N,
PA00000035,N,
PA00000036,N,
PA00000037,Y,150분
PA00000038,N,
PA00000039,N,
PA00000040,N,
PA00000041,N,
PA00000042,N,
PA00000043,Y,200분
PA00000044,Y,150분
PA00000045,N,
PA00000046,N,
PA00000047,N,
PA00000048,N,
PA00000049,N,
PA00000050,N,
PA00000051,N,
PA00000052,N,
PA00000053,N,
PA00000054,N,
PA00000055,N,
PA00000056,N,
PA00000057,N,
PA00000058,N,
PA00000059,N,
PA00000060,N,
PA00000061,N,
PA00000062,N,
PA00000063,N,
PA00000064,N,
PA00000065,N,
PA00000066,N,
PA00000067,N,
PA00000068,N,
PA00000069,N,
PA00000070,N,
PA00000071,N,
PA00000072,N,
PA00000073,N,
PA00000074,N,
PA00000075,N,
PA00000076,N,
PA00000077,N,
PA00000078,N,
PA00000079,N,
PA00000080,N,
PA00000081,N,
PA00000082,N,
PA00000083,N,
PA00000084,N,
PA00000085,N,
PA00000086,N,
PA00000087,N,
PA00000088,N,
PA00000089,N,
PA00000090,N,
PA00000091,N,
PA00000092,N,
PA00000093,N,
PA00000094,N,
PA00000095,N,
PA00000096,N,
PA00000097,N,
PA00000098,N,
PA00000099,N,
PA00000100,Y,200분
PA00000101,N,
PA00000102,N,
PA00000103,N,
PA00000104,N,
PA00000105,N,
PA00000106,N,
PA00000107,N,
PA00000108,N,
PA00000109,N,
PA00000228,N,
PA00000231,N,
PA00000693,N,
PA00002803,N,
PA00002804,N,
PA00002805,N,
PA00002806,N,
PA00002807,N,
PA00002808,N,
PA00002809,N,
PA00002810,N,
PA00002811,N,
PA00002812,N,
PA00002813,N,
PA00002814,N,
PA00002815,N,
