pmProductID,monthlyPrice,monthlyPriceWithoutVAT,monthlyPriceWithSelectableInstallment,billingMethod,netPrice
PA00000001,38000,34546,38000,후불,34545
PA00000002,22000,20000,22000,후불,20000
PA00000003,35000,31819,35000,후불,31818
PA00000004,48000,43637,48000,후불,43636
PA00000005,52000,47273,52000,후불,47273
PA00000006,42000,38182,42000,후불,42000
PA00000007,34000,30909,34000,후불,34000
PA00000008,48000,43637,48000,후불,42000
PA00000009,55000,50000,55000,후불,47273
PA00000010,69000,62728,69000,후불,55455
PA00000011,30000,27273,30000,후불,31818
PA00000012,62000,56364,62000,후불,55455
PA00000013,27000,24546,27000,후불,24546
PA00000014,31000,28182,31000,후불,28182
PA00000015,69000,62728,51730,후불,62728
PA00000016,79000,71819,59200,후불,71819
PA00000017,69000,62728,51730,후불,62728
PA00000018,68000,61819,50950,후불,61819
PA00000019,64000,58182,47995,후불,58182
PA00000020,66000,60000,49500,후불,60000
PA00000021,62000,56364,46490,후불,56364
PA00000022,12100,11000,9075,후불,11000
PA00000023,32890,29900,24640,후불,29900
PA00000024,39600,36000,29700,후불,36000
PA00000025,46200,42000,34650,후불,42000
PA00000026,51700,47000,38775,후불,47000
PA00000027,56100,51000,42075,후불,51000
PA00000028,65890,59900,49390,후불,59900
PA00000029,19800,18000,14850,후불,18000
PA00000030,75900,69000,56925,후불,69000
PA00000031,15400,14000,11550,후불,14000
PA00000032,33000,30000,24750,후불,30000
PA00000033,50000,45455,37460,후불,45455
PA00000034,69000,62728,51730,후불,62728
PA00000035,79000,71819,59200,후불,71819
PA00000036,100000,90909,74975,후불,90909
PA00000037,43000,39091,32220,후불,39091
PA00000038,33000,30000,24750,후불,30000
PA00000039,55000,50000,41250,후불,50000
PA00000040,75000,68182,56245,후불,68182
PA00000041,89000,80909,66725,후불,86364
PA00000042,125000,113637,93705,후불,113637
PA00000043,33000,30000,24750,후불,30000
PA00000044,43000,39091,32220,후불,39091
PA00000045,50000,45455,37460,후불,45455
PA00000046,69000,62728,51730,후불,62728
PA00000047,79000,71819,59200,후불,71819
PA00000048,100000,90909,74975,후불,90909
PA00000049,45000,40909,33725,후불,40909
PA00000050,69000,62728,51730,후불,62727
PA00000051,79000,71819,59200,후불,71818
PA00000052,26000,23637,19455,후불,23636
PA00000053,69000,62728,51730,후불,62728
PA00000054,59000,53637,44205,후불,53637
PA00000055,45000,40909,33725,후불,40909
PA00000056,33000,30000,24750,후불,30000
PA00000057,36000,32728,26980,후불,32727
PA00000058,26000,23637,19455,후불,23636
PA00000059,59000,53637,44205,후불,53637
PA00000060,125000,113637,93705,후불,113637
PA00000061,89000,80909,66725,후불,80909
PA00000062,45000,40909,33725,후불,40909
PA00000063,44000,40000,33000,후불,40000
PA00000064,42000,38182,31495,후불,38182
PA00000065,89000,80909,66725,후불,80909
PA00000066,99000,90000,74250,후불,90000
PA00000067,89000,80909,66725,후불,80909
PA00000068,99000,90000,74250,후불,90000
PA00000069,89000,80909,66725,후불,80909
PA00000070,39000,35455,29210,후불,35455
PA00000071,109000,99091,81720,후불,99091
PA00000072,69000,62728,69000,후불,62728
PA00000073,62000,56364,62000,후불,56364
PA00000074,69000,62728,69000,후불,62728
PA00000075,62000,56364,62000,후불,56364
PA00000076,109000,99091,81720,후불,99091
PA00000077,76000,69091,76000,후불,69091
PA00000078,76000,69091,76000,후불,69091
PA00000079,109000,99091,81720,후불,99091
PA00000080,99000,90000,74250,후불,90000
PA00000081,37000,33637,27705,후불,33637
PA00000082,45000,40909,33725,후불,40909
PA00000083,109000,99091,81720,후불,99091
PA00000084,55000,50000,41250,후불,50000
PA00000085,49000,44546,36735,후불,44546
PA00000086,49000,44546,36735,후불,44546
PA00000087,34000,30909,34000,후불,30910
PA00000088,30000,27273,30000,후불,27273
PA00000089,43000,39091,32220,후불,39091
PA00000090,69000,62728,69000,후불,62728
PA00000091,62000,56364,62000,후불,56364
PA00000092,55000,50000,55000,후불,50000
PA00000093,48000,43637,48000,후불,43637
PA00000094,42000,38182,42000,후불,38182
PA00000095,9900,9000,7425,후불,9000
PA00000096,33000,30000,24750,후불,30000
PA00000097,50000,45455,37460,후불,45455
PA00000098,19800,18000,14850,후불,18000
PA00000099,43000,39091,32220,후불,39091
PA00000100,33000,30000,24750,후불,30000
PA00000101,50000,45455,37460,후불,45455
PA00000102,68000,61819,50950,후불,61819
PA00000103,64000,58182,47995,후불,58182
PA00000104,62000,56364,46490,후불,56364
PA00000105,66000,60000,49500,후불,60000
PA00000106,99000,90000,74250,후불,90000
PA00000107,69000,62728,51730,후불,62727
PA00000108,79000,71819,59200,후불,71818
PA00000109,59000,53637,44205,후불,53637
PA00000228,8800,8000,8800,후불,8000
PA00000231,125000,113637,93705,후불,113637
PA00000693,125000,113637,125000,후불,113637
PA00002803,99000,90000,74250,후불,90000
PA00002804,76000,69091,76000,후불,69091
PA00002805,99000,90000,74250,후불,90000
PA00002806,76000,69091,76000,후불,69091
PA00002807,109000,99091,81720,후불,107920
PA00002808,109000,99091,81720,후불,99091
PA00002809,109000,99091,81720,후불,99091
PA00002810,109000,99091,81720,후불,99091
PA00002811,109000,99091,81720,후불,99091
PA00002812,109000,99091,81720,후불,99091
PA00002813,76000,69091,76000,후불,69091
PA00002814,69000,62728,69000,후불,55455
PA00002815,69000,62728,69000,후불,62728
