pmProductID,mappedProductCode,generation,marketingKeyword,productName,productNameInEnglish,lineup,classifiedGroup,productDescription,productSubscriptionCondition,statusOfOperation
PA00000001,['NA00007164'],"['LTE generation', '5G generation']","['유심개통', '쓰던폰', 'USIM개통', '비대면', '자급제', '온라인', '데이터100GB 이하', 'T다샵', '다이렉트플랜', '티다이렉트샵', '티다샵', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제']",다이렉트5G 38,Direct5G 38,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 15GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000002,['NA00007166'],"['LTE generation', '5G generation']","['자급제', '비대면', '온라인', '티다샵', '티다이렉트샵', '유심개통', 'USIM개통', '쓰던폰', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵']",다이렉트LTE 22,DirectLTE 22,LTE 다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 1.8GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000003,['NA00007167'],"['LTE generation', '5G generation']","['쓰던폰', '자급제', '비대면', '온라인', '티다이렉트샵', '유심개통', 'USIM개통', '심야데이터할인', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵', '티다샵']",다이렉트LTE 35,DirectLTE 35,LTE 다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 5GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000004,['NA00007168'],"['LTE generation', '5G generation']","['온라인', '유심개통', 'USIM개통', '쓰던폰', '자급제', '100GB이상', '비대면', '티다샵', '티다이렉트샵', 'T다이렉트전용요금제', '온라인전용요금제', '다이렉트플랜', 'T다샵']",다이렉트LTE 48,DirectLTE 48,LTE 다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 100GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000005,['NA00007183'],"['LTE generation', '5G generation']","['온라인', '티다이렉트샵', '티다샵', 'USIM개통', '유심개통', '자급제', '쓰던폰', '비대면', '100GB이상', 'wavve할인혜택', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜']",다이렉트5G 52,Direct5G 52,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 200GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,가입중단
PA00000006,['NA00007625'],"['5G generation', 'LTE generation']","['USIM개통', 'T다샵', 'T다이렉트전용요금제', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '비대면', '데이터100GB 이하', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '자급제']",다이렉트5G 42,Direct5G 42,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 24GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000007,['NA00007626'],"['LTE generation', '5G generation']","['데이터100GB 이하', '비대면', '온라인', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '자급제', 'T다이렉트전용요금제', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', 'wavve할인혜택']",다이렉트5G 34,Direct5G 34,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 11GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000008,['NA00008098'],"['5G generation', 'LTE generation']","['비대면', '100GB이상', '온라인', '자급제', '쓰던폰', 'USIM개통', 'T다이렉트전용요금제', 'wavve할인혜택', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', '유심개통', '티다이렉트샵']",다이렉트5G 48,Direct5G 48,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 110GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000009,['NA00008099'],"['5G generation', 'LTE generation']","['USIM개통', 'T다샵', 'T다이렉트전용요금제', '100GB이상', '유심개통', '온라인', '온라인전용요금제', '쓰던폰', '스마트워치요금50%할인', '비대면', '다이렉트플랜', 'wavve할인혜택', '티다이렉트샵', '티다샵', '태블릿요금50%할인', '자급제']",다이렉트5G 55,Direct5G 55,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 250GB 데이터를 제공하면서 wavve 혜택도 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000010,['NA00008100'],"['LTE generation', '5G generation']","['온라인', '비대면', '티다샵', '유심개통', '티다이렉트샵', '쓰던폰', 'USIM개통', '데이터무제한', '자급제', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜', '스마트워치요금할인혜택', '멤버십VIP혜택', '우주패스무료혜택', '태블릿요금할인혜택', 'FLO무료혜택', '콘텐츠할인', '혜택요금제', 'wavve무료혜택']",다이렉트5G 69,Direct5G 69,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,"데이터를 무제한으로 이용 가능하며 T멤버십 VIP, 구독서비스 무료 등 다양한 혜택을 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제",T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000011,['NA00008101'],"['LTE generation', '5G generation']","['온라인', 'USIM개통', '쓰던폰', '자급제', '비대면', '온라인전용요금제', '다이렉트플랜', 'T다샵', '티다샵', '티다이렉트샵', '유심개통', '심야데이터할인', 'T다이렉트전용요금제']",다이렉트LTE 30,DirectLTE 30,LTE 다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 2.5GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000012,['NA00008104'],"['5G generation', 'LTE generation']","['비대면', '데이터무제한', '온라인', '티다이렉트샵', 'USIM개통', '유심개통', '자급제', '쓰던폰', 'T다이렉트전용요금제', 'wavve할인혜택', '다이렉트플랜', '온라인전용요금제', '티다샵', 'T다샵', '멤버십VIP', '혜택요금제', 'FLO할인혜택', '우주패스할인혜택', '콘텐츠할인']",다이렉트5G 62,Direct5G 62,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,"데이터를 무제한으로 이용 가능하며 T멤버십 VIP, 구독서비스 할인 등 다양한 혜택을 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제",T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000013,['NA00008683'],"['LTE generation', '5G generation']","['온라인', '데이터100GB 이하', '쓰던폰', '비대면', '자급제', '온라인전용요금제', 'T다이렉트전용요금제', 'T다샵', '다이렉트플랜', '티다이렉트샵', '티다샵', 'USIM개통', '유심개통', 'wavve할인혜택']",다이렉트5G 27,Direct5G 27,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 6GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000014,['NA00008684'],"['5G generation', 'LTE generation']","['자급제', '쓰던폰', '데이터100GB 이하', '비대면', '온라인', '티다이렉트샵', '티다샵', 'USIM개통', '유심개통', 'T다이렉트전용요금제', 'wavve할인혜택', '다이렉트플랜', '온라인전용요금제', 'T다샵']",다이렉트5G 31,Direct5G 31,다이렉트플랜,상품 > 기본요금제 > 휴대폰 요금제,월 8GB 데이터를 제공하는 SK텔레콤 공식 온라인 채널인 T다이렉트샵에서만 가입 가능한 온라인 전용 무약정 요금제,T다이렉트샵(SK텔레콤 공식온라인채널)을 통하여 신규/기변한 고객 가입 가능,운영
PA00000015,['NA00006157'],"['3G generation', 'LTE generation', '5G generation']","['만24세이하', '대학생요금제', '청년요금제', '대학생', '대학생추천', '100GB이상', '멤버십VIP', 'FLO할인', 'wavve할인']",0플랜 라지,0 Plan Large,0플랜,상품 > 기본요금제 > 휴대폰 요금제,"매월 100GB 데이터 및 T멤버십 VIP, 구독서비스 혜택 등을 제공하는 만 34세 이하 개인고객만 가입 가능한 요금제",만 34세 이하 고객 가입 가능(고객당 1번만 가입 가능),운영
