pmProductID,includedText,textRange
PA00000001,99999,[]
PA00000002,99999,[]
PA00000003,99999,[]
PA00000004,99999,[]
PA00000005,99999,[]
PA00000006,99999,[]
PA00000007,99999,[]
PA00000008,99999,[]
PA00000009,99999,[]
PA00000010,99999,[]
PA00000011,99999,[]
PA00000012,99999,[]
PA00000013,99999,[]
PA00000014,99999,[]
PA00000015,99999,[]
PA00000016,99999,[]
PA00000017,99999,[]
PA00000018,99999,[]
PA00000019,99999,[]
PA00000020,99999,[]
PA00000021,99999,[]
PA00000022,50,[]
PA00000023,99999,[]
PA00000024,99999,[]
PA00000025,99999,[]
PA00000026,99999,[]
PA00000027,99999,[]
PA00000028,99999,[]
PA00000029,99999,[]
PA00000030,99999,[]
PA00000031,99999,[]
PA00000032,99999,[]
PA00000033,99999,[]
PA00000034,99999,[]
PA00000035,99999,[]
PA00000036,99999,[]
PA00000037,99999,[]
PA00000038,99999,[]
PA00000039,99999,[]
PA00000040,99999,[]
PA00000041,99999,[]
PA00000042,99999,[]
PA00000043,99999,[]
PA00000044,99999,[]
PA00000045,99999,[]
PA00000046,99999,[]
PA00000047,99999,[]
PA00000048,99999,[]
PA00000049,99999,[]
PA00000050,99999,[]
PA00000051,99999,[]
PA00000052,99999,[]
PA00000053,99999,[]
PA00000054,99999,[]
PA00000055,99999,[]
PA00000056,99999,[]
PA00000057,99999,[]
PA00000058,99999,[]
PA00000059,99999,[]
PA00000060,99999,[]
PA00000061,99999,[]
PA00000062,99999,[]
PA00000063,99999,[]
PA00000064,99999,[]
PA00000065,99999,[]
PA00000066,99999,[]
PA00000067,99999,[]
PA00000068,99999,[]
PA00000069,99999,[]
PA00000070,99999,[]
PA00000071,99999,[]
PA00000072,99999,[]
PA00000073,99999,[]
PA00000074,99999,[]
PA00000075,99999,[]
PA00000076,99999,[]
PA00000077,99999,[]
PA00000078,99999,[]
PA00000079,99999,[]
PA00000080,99999,[]
PA00000081,99999,[]
PA00000082,99999,[]
PA00000083,99999,[]
PA00000084,99999,[]
PA00000085,99999,[]
PA00000086,99999,[]
PA00000087,99999,[]
PA00000088,99999,[]
PA00000089,99999,[]
PA00000090,99999,[]
PA00000091,99999,[]
PA00000092,99999,[]
PA00000093,99999,[]
PA00000094,99999,[]
PA00000095,80,[]
PA00000096,99999,[]
PA00000097,99999,[]
PA00000098,99999,[]
PA00000099,99999,[]
PA00000100,99999,[]
PA00000101,99999,[]
PA00000102,99999,[]
PA00000103,99999,[]
PA00000104,99999,[]
PA00000105,99999,[]
PA00000106,99999,[]
PA00000107,99999,[]
PA00000108,99999,[]
PA00000109,99999,[]
PA00000228,99999,[]
PA00000231,99999,[]
PA00000693,99999,[]
PA00002803,99999,[]
PA00002804,99999,[]
PA00002805,99999,[]
PA00002806,99999,[]
PA00002807,99999,[]
PA00002808,99999,[]
PA00002809,99999,[]
PA00002810,99999,[]
PA00002811,99999,[]
PA00002812,99999,[]
PA00002813,99999,[]
PA00002814,99999,[]
PA00002815,99999,[]
